"LoincNumber","ConsumerName"
"95072-5","1,3 beta glucan, Spinal fluid"
"28051-1","1,3,5-Trichlorobenzene, Blood"
"38642-5","1,3-Butadiene, Air"
"18240-2","1,3-Dichlorobenzene, Blood"
"18433-3","1,3-Dichlorobenzene, Blood"
"74642-0","1,3-Dichlorobenzene, Blood"
"38739-9","1,3-Dichloropropene, Air"
"73915-1","1,3-Dimethylamylamine, Urine"
"73916-9","1,3-Dimethylamylamine, Urine"
"38757-1","1,3-Dimethylbenzene, Air"
"13644-0","1,3-Dimethylbenzene, Blood"
"29145-0","1,3-Dimethylbenzene, Blood"
"80631-5","1,3-Dimethylbenzene+1,4-Dimethylbenzene, Blood"
"38719-1","1,3-Propane sultone, Air"
"79405-7","1,4-Alpha glucan branching enzyme, Fibroblast"
"1650-1","1,4-Alpha glucan branching enzyme, White blood cells"
"38751-4","1,4-Benzenediamine, Air"
"38723-3","1,4-Benzoquinone, Air"
"79513-8","1,4-Cyclohexanediol, Blood"
"79471-9","1,4-Cyclohexanediol/Creatinine, Urine"
"38590-6","1,4-Dichlorobenzene, Air"
"13006-2","1,4-Dichlorobenzene, Blood"
"17424-3","1,4-Dichlorobenzene, Blood"
"38290-3","1,4-Dichlorobenzene, Water"
"38758-9","1,4-Dimethylbenzene, Air"
"13651-5","1,4-Dimethylbenzene, Blood"
"29143-5","1,4-Dimethylbenzene, Blood"
"38593-0","1,4-Dioxane, Air"
"12997-3","1,4-Dioxane, Blood"
"14033-5","1,4-Dioxane, Blood"
"14258-8","1,4-Dioxane, Blood"
"27423-3","1,4-Dioxane, Blood"
"16292-5","1,4-Dioxane, Urine"
"53835-5","1,5-Anhydroglucitol, Blood"
"74961-4","10-Hydroxycarbazepine trough, Blood"
"31019-3","10-Hydroxycarbazepine, Blood"
"48348-7","10-Hydroxycarbazepine, Blood"
"60035-3","10-Hydroxycarbazepine, Blood"
"98985-5","10-Hydroxycarbazepine, Urine"
"87766-2","10-Hydroxycarbazepine/Creatinine, Urine"
"93198-0","10q23 g.94645745G>A genotype, Blood or tissue specimen"
"11061-9","11-Dehydro thromboxane beta 2, Urine"
"33351-8","11-Dehydro thromboxane beta 2, Urine"
"49734-7","11-Dehydro thromboxane beta 2/Creatinine, Urine"
"50686-5","11-Dehydro thromboxane beta 2/Creatinine, Urine"
"82846-7","11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Androsterone+etiocholanolone, Urine"
"82847-5","11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Androsterone+etiocholanolone, Urine"
"82848-3","11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha Tetrahydrocortisol, Urine"
"82849-1","11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha Tetrahydrocortisol, Urine"
"73838-5","11-Dehydrotetrahydrocorticosterone, Urine"
"73839-3","11-Dehydrotetrahydrocorticosterone, Urine"
"73840-1","11-Dehydrotetrahydrocorticosterone, Urine"
"81797-3","11-Dehydrotetrahydrocorticosterone/Creatinine, Urine"
"1655-0","11-Deoxy/11-Oxy steroids, Urine"
"1354-0","11-Deoxycorticosteroids 9 hr after 3 g metyraPONE By Mouth Overnight, Blood"
"1355-7","11-Deoxycorticosteroids before 3 g metyraPONE By Mouth Overnight, Blood"
"16293-3","11-Deoxycorticosteroids, Blood"
"57493-9","11-Deoxycorticosterone 1 hr after 250 ug Corticotropin, Blood"
"40816-1","11-Deoxycorticosterone 1 hr after challenge, Blood"
"56611-7","11-Deoxycorticosterone 1.5 hr after challenge, Blood"
"56608-3","11-Deoxycorticosterone 15 min after challenge, Blood"
"56602-6","11-Deoxycorticosterone 1st specimen after challenge, Blood"
"56612-5","11-Deoxycorticosterone 2 hr after challenge, Blood"
"56613-3","11-Deoxycorticosterone 2.5 hr after challenge, Blood"
"56609-1","11-Deoxycorticosterone 20 min after challenge, Blood"
"56603-4","11-Deoxycorticosterone 2nd specimen after challenge, Blood"
"57492-1","11-Deoxycorticosterone 30 min after 250 ug Corticotropin, Blood"
"56556-4","11-Deoxycorticosterone 30 min after challenge, Blood"
"56604-2","11-Deoxycorticosterone 3rd specimen after challenge, Blood"
"56610-9","11-Deoxycorticosterone 40 min after challenge, Blood"
"56605-9","11-Deoxycorticosterone 4th specimen after challenge, Blood"
"59987-8","11-Deoxycorticosterone 5th specimen after challenge, Blood"
"59986-0","11-Deoxycorticosterone 6th specimen after challenge, Blood"
"59985-2","11-Deoxycorticosterone 7th specimen after challenge, Blood"
"59984-5","11-Deoxycorticosterone 8th specimen after challenge, Blood"
"16294-1","11-Deoxycorticosterone after challenge, Blood"
"56555-6","11-Deoxycorticosterone baseline, Blood"
"57491-3","11-Deoxycorticosterone before 250 ug Corticotropin, Blood"
"56606-7","11-Deoxycorticosterone before challenge, Blood"
"1656-8","11-Deoxycorticosterone, Blood"
"25561-2","11-Deoxycorticosterone, Blood"
"40811-2","11-Deoxycorticosterone, Blood"
"53347-1","11-Deoxycorticosterone, Dried blood spot"
"53348-9","11-Deoxycorticosterone, Dried blood spot"
"16110-9","11-Deoxycorticosterone, Urine"
"40818-7","11-Deoxycorticosterone, Urine"
"42855-7","11-Deoxycorticosterone, Urine"
"55808-0","11-Deoxycorticosterone, Urine"
"57496-2","11-Deoxycortisol 1 day after dexamethasone, Blood"
"57497-0","11-Deoxycortisol 1 day after dexamethasone, Blood"
"57502-7","11-Deoxycortisol 1 day after metyraPONE, Blood"
"57503-5","11-Deoxycortisol 1 day after metyraPONE, Blood"
"13601-0","11-Deoxycortisol 1 hr after 250 ug Corticotropin, Blood"
"50075-1","11-Deoxycortisol 1 hr after 250 ug Corticotropin, Blood"
"40809-6","11-Deoxycortisol 1 hr after challenge, Blood"
"55468-3","11-Deoxycortisol 1 hr after Corticotropin, Blood"
"56521-8","11-Deoxycortisol 1.5 hr after challenge, Blood"
"13600-2","11-Deoxycortisol 15 min after 250 ug Corticotropin, Blood"
"56518-4","11-Deoxycortisol 15 min after challenge, Blood"
"50721-0","11-Deoxycortisol 1st specimen after challenge, Blood"
"57672-8","11-Deoxycortisol 2 days after challenge, Blood"
"57498-8","11-Deoxycortisol 2 days after dexamethasone, Blood"
"57499-6","11-Deoxycortisol 2 days after dexamethasone, Blood"
"57504-3","11-Deoxycortisol 2 days after metyraPONE, Blood"
"57505-0","11-Deoxycortisol 2 days after metyraPONE, Blood"
"56517-6","11-Deoxycortisol 2 hr after challenge, Blood"
"49324-7","11-Deoxycortisol 2 hr after metyraPONE, Blood"
"58910-1","11-Deoxycortisol 2.5 hr after challenge, Blood"
"58909-3","11-Deoxycortisol 20 min after challenge, Blood"
"18351-7","11-Deoxycortisol 2nd specimen after challenge, Blood"
"13602-8","11-Deoxycortisol 30 min after 250 ug Corticotropin, Blood"
"50073-6","11-Deoxycortisol 30 min after 250 ug Corticotropin, Blood"
"56519-2","11-Deoxycortisol 30 min after challenge, Blood"
"50720-2","11-Deoxycortisol 3rd specimen after challenge, Blood"
"57002-8","11-Deoxycortisol 4 days after challenge, Blood"
"58908-5","11-Deoxycortisol 40 min after challenge, Blood"
"50074-4","11-Deoxycortisol 45 min after 250 ug Corticotropin, Blood"
"57507-6","11-Deoxycortisol 45 min after 250 ug Corticotropin, Blood"
"56520-0","11-Deoxycortisol 45 min after challenge, Blood"
"50719-4","11-Deoxycortisol 4th specimen after challenge, Blood"
"50718-6","11-Deoxycortisol 5th specimen after challenge, Blood"
"50717-8","11-Deoxycortisol 6th specimen after challenge, Blood"
"50716-0","11-Deoxycortisol 7th specimen after challenge, Blood"
"1356-5","11-Deoxycortisol 8 hr after 30 mg/kg metyraPONE by mouth, Blood"
"1357-3","11-Deoxycortisol after 750 mg metyraPONE Q4h X 6, Blood"
"16295-8","11-Deoxycortisol after challenge, Blood"
"41289-0","11-Deoxycortisol after dose metyraPONE, Blood"
"40810-4","11-Deoxycortisol baseline, Blood"
"55467-5","11-Deoxycortisol baseline, Blood"
"50072-8","11-Deoxycortisol before 250 ug Corticotropin, Blood"
"57506-8","11-Deoxycortisol before 250 ug Corticotropin, Blood"
"58985-3","11-Deoxycortisol before challenge, Blood"
"57494-7","11-Deoxycortisol before dose dexamethasone, Blood"
"57495-4","11-Deoxycortisol before dose dexamethasone, Blood"
"57500-1","11-Deoxycortisol before dose metyraPONE, Blood"
"57501-9","11-Deoxycortisol before dose metyraPONE, Blood"
"21034-4","11-Deoxycortisol Evening specimen, Blood"
"21035-1","11-Deoxycortisol Morning specimen, Blood"
"50071-0","11-Deoxycortisol, Amniotic fluid"
"55809-8","11-Deoxycortisol, Amniotic fluid"
"14567-2","11-Deoxycortisol, Blood"
"1657-6","11-Deoxycortisol, Blood"
"53338-0","11-Deoxycortisol, Dried blood spot"
"53339-8","11-Deoxycortisol, Dried blood spot"
"93773-0","11-Deoxycortisol, Saliva"
"13872-7","11-Deoxycortisol, Urine"
"25315-3","11-Deoxycortisol, Urine"
"34204-8","11-Deoxycortisol, Urine"
"34205-5","11-Deoxycortisol, Urine"
"42572-8","11-Deoxycortisol, Urine"
"45184-9","11-Deoxycortisol/Cortisol, Blood"
"34206-3","11-Deoxycortisol/Creatinine, Urine"
"82858-2","11-Deoxytetrahydrocorticosterone, Urine"
"82859-0","11-Deoxytetrahydrocorticosterone, Urine"
"82860-8","11-Deoxytetrahydrocorticosterone, Urine"
"95571-6","11-Deoxytetrahydrocorticosterone, Urine"
"95572-4","11-Deoxytetrahydrocorticosterone, Urine"
"83130-5","11-Deoxytetrahydrocorticosterone/Creatinine, Urine"
"82861-6","11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha Tetrahydrocortisol, Urine"
"82862-4","11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha Tetrahydrocortisol, Urine"
"40864-1","11-Hydroxy delta-9 tetrahydrocannabinol, Blood"
"70178-9","11-Hydroxy delta-9 tetrahydrocannabinol, Blood"
"78753-1","11-Hydroxy delta-9 tetrahydrocannabinol, Blood"
"80111-8","11-Hydroxy delta-9 tetrahydrocannabinol, Blood"
"78752-3","11-Hydroxy delta-9 tetrahydrocannabinol, Body fluid"
"80112-6","11-Hydroxy delta-9 tetrahydrocannabinol, Body fluid"
"78751-5","11-Hydroxy delta-9 tetrahydrocannabinol, Hair"
"48934-4","11-Hydroxy delta-9 tetrahydrocannabinol, Specimen"
"48935-1","11-Hydroxy delta-9 tetrahydrocannabinol, Specimen"
"78754-9","11-Hydroxy delta-9 tetrahydrocannabinol, Urine"
"80113-4","11-Hydroxy delta-9 tetrahydrocannabinol, Urine"
"50070-2","11-Hydroxyandrostenedione 1 hr after 250 ug Corticotropin, Blood"
"50069-4","11-Hydroxyandrostenedione 30 min after 250 ug Corticotropin, Blood"
"50068-6","11-Hydroxyandrostenedione before 250 ug Corticotropin, Blood"
"1658-4","11-Hydroxyandrostenedione, Blood"
"47086-4","11-Hydroxyandrostenedione, Blood"
"50067-8","11-Hydroxyandrostenedione, Body fluid"
"57514-2","11-Hydroxyandrosterone 2 days after dexamethasone, Urine"
"57515-9","11-Hydroxyandrosterone 2 days after dexamethasone, Urine"
"57510-0","11-Hydroxyandrosterone 2 days after high dose dexamethasone, Urine"
"57511-8","11-Hydroxyandrosterone 2 days after high dose dexamethasone, Urine"
"57512-6","11-Hydroxyandrosterone before dose dexamethasone, Urine"
"57513-4","11-Hydroxyandrosterone before dose dexamethasone, Urine"
"57508-4","11-Hydroxyandrosterone before high dose dexamethasone, Urine"
"57509-2","11-Hydroxyandrosterone before high dose dexamethasone, Urine"
"16296-6","11-Hydroxyandrosterone, Blood"
"15003-7","11-Hydroxyandrosterone, Urine"
"1659-2","11-Hydroxyandrosterone, Urine"
"34207-1","11-Hydroxyandrosterone, Urine"
"34208-9","11-Hydroxyandrosterone, Urine"
"6701-7","11-Hydroxyandrosterone, Urine"
"95584-9","11-Hydroxyandrosterone, Urine"
"34209-7","11-Hydroxyandrosterone/Creatinine, Urine"
"40812-0","11-Hydroxyandrosterone/Creatinine, Urine"
"57522-5","11-Hydroxyetiocholanolone 2 days after dexamethasone, Urine"
"57523-3","11-Hydroxyetiocholanolone 2 days after dexamethasone, Urine"
"57518-3","11-Hydroxyetiocholanolone 2 days after high dose dexamethasone, Urine"
"57519-1","11-Hydroxyetiocholanolone 2 days after high dose dexamethasone, Urine"
"57520-9","11-Hydroxyetiocholanolone before dose dexamethasone, Urine"
"57521-7","11-Hydroxyetiocholanolone before dose dexamethasone, Urine"
"57516-7","11-Hydroxyetiocholanolone before high dose dexamethasone, Urine"
"57517-5","11-Hydroxyetiocholanolone before high dose dexamethasone, Urine"
"1660-0","11-Hydroxyetiocholanolone, Blood"
"15004-5","11-Hydroxyetiocholanolone, Urine"
"26950-6","11-Hydroxyetiocholanolone, Urine"
"34210-5","11-Hydroxyetiocholanolone, Urine"
"34211-3","11-Hydroxyetiocholanolone, Urine"
"6700-9","11-Hydroxyetiocholanolone, Urine"
"95585-6","11-Hydroxyetiocholanolone, Urine"
"34212-1","11-Hydroxyetiocholanolone/Creatinine, Urine"
"40813-8","11-Hydroxyetiocholanolone/Creatinine, Urine"
"93243-4","11-Hydroxytestosterone, Blood"
"57481-4","11-Ketoandrosterone 2 days after dexamethasone, Urine"
"57482-2","11-Ketoandrosterone 2 days after dexamethasone, Urine"
"57477-2","11-Ketoandrosterone 2 days after high dose dexamethasone, Urine"
"57478-0","11-Ketoandrosterone 2 days after high dose dexamethasone, Urine"
"57479-8","11-Ketoandrosterone before dose dexamethasone, Urine"
"57480-6","11-Ketoandrosterone before dose dexamethasone, Urine"
"57475-6","11-Ketoandrosterone before high dose dexamethasone, Urine"
"57476-4","11-Ketoandrosterone before high dose dexamethasone, Urine"
"1661-8","11-Ketoandrosterone, Blood"
"15005-2","11-Ketoandrosterone, Urine"
"26943-1","11-Ketoandrosterone, Urine"
"26944-9","11-Ketoandrosterone, Urine"
"34213-9","11-Ketoandrosterone, Urine"
"34214-7","11-Ketoandrosterone, Urine"
"6702-5","11-Ketoandrosterone, Urine"
"34215-4","11-Ketoandrosterone/Creatinine, Urine"
"40814-6","11-Ketoandrosterone/Creatinine, Urine"
"57489-7","11-Ketoetiocholanolone 2 days after dexamethasone, Urine"
"57490-5","11-Ketoetiocholanolone 2 days after dexamethasone, Urine"
"57485-5","11-Ketoetiocholanolone 2 days after high dose dexamethasone, Urine"
"57486-3","11-Ketoetiocholanolone 2 days after high dose dexamethasone, Urine"
"57487-1","11-Ketoetiocholanolone before dose dexamethasone, Urine"
"57488-9","11-Ketoetiocholanolone before dose dexamethasone, Urine"
"57483-0","11-Ketoetiocholanolone before high dose dexamethasone, Urine"
"57484-8","11-Ketoetiocholanolone before high dose dexamethasone, Urine"
"1662-6","11-Ketoetiocholanolone, Blood"
"15006-0","11-Ketoetiocholanolone, Urine"
"34216-2","11-Ketoetiocholanolone, Urine"
"34217-0","11-Ketoetiocholanolone, Urine"
"43359-9","11-Ketoetiocholanolone, Urine"
"6703-3","11-Ketoetiocholanolone, Urine"
"95591-4","11-Ketoetiocholanolone, Urine"
"34396-2","11-Ketoetiocholanolone/Creatinine, Urine"
"40815-3","11-Ketoetiocholanolone/Creatinine, Urine"
"6704-1","11-Ketopregnanetriol, Urine"
"93242-6","11-Ketotestosterone, Blood"
"40865-8","11-Oxo-Androsterone, Urine"
"40866-6","11-Oxo-Androsterone/Creatinine, Urine"
"60547-7","11-Oxo-Androsterone/Creatinine, Urine"
"40867-4","11-Oxo-Etiocholanolone, Urine"
"40868-2","11-Oxo-Etiocholanolone/Creatinine, Urine"
"60548-5","11-Oxo-Etiocholanolone/Creatinine, Urine"
"9445-8","11-Oxopregnanetriol, Urine"
"1663-4","11-Oxycorticosterone, Blood"
"81850-0","11p15 methylation and deletion/duplication analysis, Amniotic fluid"
"81851-8","11p15 methylation and deletion/duplication analysis, Blood or tissue specimen"
"81749-4","13q14 deletion analysis, Bone marrow"
"24031-7","14-3-3 antigen, Spinal fluid"
"27072-8","14-3-3 antigen, Spinal fluid"
"31989-7","14-3-3 antigen, Spinal fluid"
"31990-5","14-3-3 antigen, Spinal fluid"
"36924-9","14-3-3 antigen, Spinal fluid"
"75880-5","14-3-3 eta antigen, Blood"
"51833-2","14-3-3 protein, Spinal fluid"
"91065-3","14-3-3 protein, Tissue"
"80606-7","14-Hydroxyclarithromycin, Blood"
"80607-5","14-Hydroxyclarithromycin, Dried blood spot"
"95071-7","14q32 rearrangements, Bone marrow"
"44277-2","15 beta, 17 alpha-Dihydroxypregnanolone/Creatinine, Urine"
"82238-7","15q11-13 deletion/duplication analysis, Amnio Fld/CVS"
"73844-3","16-Alpha hydroxydehydroepiandrosterone, Urine"
"73845-0","16-Alpha hydroxydehydroepiandrosterone, Urine"
"73846-8","16-Alpha hydroxydehydroepiandrosterone, Urine"
"95563-3","16-Alpha hydroxydehydroepiandrosterone, Urine"
"95564-1","16-Alpha hydroxydehydroepiandrosterone, Urine"
"44278-0","16-Alpha hydroxydehydroepiandrosterone/Creatinine, Urine"
"81801-3","16-Alpha hydroxydehydroepiandrosterone/Creatinine, Urine"
"49825-3","16-Alpha hydroxyestrone, Blood"
"74506-7","16-Alpha hydroxypregnenolone, Urine"
"74507-5","16-Alpha hydroxypregnenolone, Urine"
"74508-3","16-Alpha hydroxypregnenolone, Urine"
"44279-8","16-Alpha hydroxypregnenolone/16-Alpha Hydroxydehydroepiandrosterone, Urine"
"43688-1","16-Alpha hydroxypregnenolone/Creatinine, Urine"
"81799-9","16-Alpha hydroxypregnenolone/Creatinine, Urine"
"74503-4","16-Beta,18-dihydroxydehydroepiandrosterone, Urine"
"74504-2","16-Beta,18-dihydroxydehydroepiandrosterone, Urine"
"74505-9","16-Beta,18-dihydroxydehydroepiandrosterone, Urine"
"81802-1","16-Beta,18-dihydroxydehydroepiandrosterone/Creatinine, Urine"
"73847-6","16-Ketoandrostenediol, Urine"
"73848-4","16-Ketoandrostenediol, Urine"
"73849-2","16-Ketoandrostenediol, Urine"
"81800-5","16-Ketoandrostenediol/Creatinine, Urine"
"61106-1","16p11.2 chromosome region deletion/duplication analysis, Blood or tissue specimen"
"82240-3","16p13.3 deletion analysis, Amnio Fld/CVS"
"82239-5","16p13.3 deletion analysis, Blood or tissue specimen"
"95716-7","17 alpha-Hydroxylase antibody, Blood"
"95574-0","17 alpha-hydroxypregnanolone, Urine"
"95575-7","17 alpha-hydroxypregnanolone, Urine"
"44280-6","17 alpha-hydroxypregnanolone/Creatinine, Urine"
"26012-5","17-Hydroxycorticosteroids 1 day after challenge, Urine"
"26013-3","17-Hydroxycorticosteroids 2 days after challenge, Urine"
"50248-4","17-Hydroxycorticosteroids 2 days after dexamethasone, Urine"
"57529-0","17-Hydroxycorticosteroids 2 days after dexamethasone, Urine"
"50246-8","17-Hydroxycorticosteroids 2 days after high dose dexamethasone, Urine"
"57527-4","17-Hydroxycorticosteroids 2 days after high dose dexamethasone, Urine"
"50247-6","17-Hydroxycorticosteroids after dose dexamethasone, Urine"
"50245-0","17-Hydroxycorticosteroids after high dose dexamethasone, Urine"
"57528-2","17-Hydroxycorticosteroids before dose dexamethasone, Urine"
"57526-6","17-Hydroxycorticosteroids before high dose dexamethasone, Urine"
"1664-2","17-Hydroxycorticosteroids, Amniotic fluid"
"1665-9","17-Hydroxycorticosteroids, Blood"
"14568-0","17-Hydroxycorticosteroids, Urine"
"1666-7","17-Hydroxycorticosteroids, Urine"
"21036-9","17-Hydroxycorticosteroids, Urine"
"25852-5","17-Hydroxycorticosteroids, Urine"
"34218-8","17-Hydroxycorticosteroids, Urine"
"6866-8","17-Hydroxycorticosteroids, Urine"
"34219-6","17-Hydroxycorticosteroids/Creatinine, Urine"
"38472-7","17-Hydroxycorticosteroids/Creatinine, Urine"
"41404-5","17-Hydroxycorticosteroids/Creatinine, Urine"
"1667-5","17-Hydroxyketosteroids, Urine"
"32152-1","17-Hydroxyketosteroids, Urine"
"83138-8","17-Hydroxypregnenetriol, Urine"
"83140-4","17-Hydroxypregnenetriol, Urine"
"83139-6","17-Hydroxypregnenetriol/Creatinine, Urine"
"57531-6","17-Hydroxypregnenolone 1 day after dexamethasone, Blood"
"13604-4","17-Hydroxypregnenolone 1 hr after 250 ug Corticotropin, Blood"
"50079-3","17-Hydroxypregnenolone 1 hr after 250 ug Corticotropin, Blood"
"49325-4","17-Hydroxypregnenolone 1 hr after challenge, Blood"
"13603-6","17-Hydroxypregnenolone 15 min after 250 ug Corticotropin, Blood"
"51677-3","17-Hydroxypregnenolone 1st specimen after challenge, Blood"
"57532-4","17-Hydroxypregnenolone 2 days after dexamethasone, Blood"
"51676-5","17-Hydroxypregnenolone 2nd specimen after challenge, Blood"
"13605-1","17-Hydroxypregnenolone 30 min after 250 ug Corticotropin, Blood"
"50249-2","17-Hydroxypregnenolone 30 min after 250 ug Corticotropin, Blood"
"56522-6","17-Hydroxypregnenolone 30 min after challenge, Blood"
"51678-1","17-Hydroxypregnenolone 3rd specimen after challenge, Blood"
"16298-2","17-Hydroxypregnenolone 45 min after challenge, Blood"
"51672-4","17-Hydroxypregnenolone 4th specimen after challenge, Blood"
"51673-2","17-Hydroxypregnenolone 5th specimen after challenge, Blood"
"16299-0","17-Hydroxypregnenolone 6 hr after challenge, Blood"
"51674-0","17-Hydroxypregnenolone 6th specimen after challenge, Blood"
"51675-7","17-Hydroxypregnenolone 7th specimen after challenge, Blood"
"51670-8","17-Hydroxypregnenolone baseline, Blood"
"50078-5","17-Hydroxypregnenolone before 250 ug Corticotropin, Blood"
"57530-8","17-Hydroxypregnenolone before dose dexamethasone, Blood"
"25316-1","17-Hydroxypregnenolone, Blood"
"6765-2","17-Hydroxypregnenolone, Blood"
"16297-4","17-Hydroxypregnenolone, Urine"
"21037-7","17-Hydroxypregnenolone, Urine"
"57547-2","17-Hydroxyprogesterone 1 day after dexamethasone, Blood"
"57548-0","17-Hydroxyprogesterone 1 day after dexamethasone, Blood"
"14114-3","17-Hydroxyprogesterone 1 hr after 250 ug Corticotropin intramuscular, Blood"
"32539-9","17-Hydroxyprogesterone 1 hr after challenge, Blood"
"48341-2","17-Hydroxyprogesterone 1 hr after challenge, Blood"
"55470-9","17-Hydroxyprogesterone 1 hr after Corticotropin, Blood"
"56616-6","17-Hydroxyprogesterone 1.5 hr after challenge, Blood"
"56614-1","17-Hydroxyprogesterone 10 min after challenge, Blood"
"77649-2","17-Hydroxyprogesterone 10 min after challenge, Blood"
"57533-2","17-Hydroxyprogesterone 10th specimen after challenge, Blood"
"57534-0","17-Hydroxyprogesterone 11th specimen after challenge, Blood"
"57535-7","17-Hydroxyprogesterone 12th specimen after challenge, Blood"
"10964-5","17-Hydroxyprogesterone 15 min after 250 ug Corticotropin intramuscular, Blood"
"56575-4","17-Hydroxyprogesterone 15 min after challenge, Blood"
"77650-0","17-Hydroxyprogesterone 15 min after challenge, Blood"
"51680-7","17-Hydroxyprogesterone 1st specimen after challenge, Blood"
"57538-1","17-Hydroxyprogesterone 1st specimen after Gonadotropin Releasing Hormone, Blood"
"57549-8","17-Hydroxyprogesterone 2 days after dexamethasone, Blood"
"57550-6","17-Hydroxyprogesterone 2 days after dexamethasone, Blood"
"32538-1","17-Hydroxyprogesterone 2 hr after challenge, Blood"
"56617-4","17-Hydroxyprogesterone 2 hr after challenge, Blood"
"56615-8","17-Hydroxyprogesterone 20 min after challenge, Blood"
"59155-2","17-Hydroxyprogesterone 20 min after challenge, Blood"
"74350-0","17-Hydroxyprogesterone 20 min after Corticotropin, Blood"
"61174-9","17-Hydroxyprogesterone 20 min before challenge, Blood"
"12716-7","17-Hydroxyprogesterone 2nd specimen after challenge, Blood"
