"ParentGroupId","GroupId","Group","Archetype","Status","VersionFirstReleased"
"LG100-4","LG22143-8","Albumin|SCnc|Pt|ANYBldSerPl","54347-0","Active",""
"LG100-4","LG5172-4","Aldolase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1094-4","Aldolase|CCnc|Pt|RBC","","Active",""
"LG100-4","LG5179-9","Aldosterone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4193-1","Alkaline phosphatase isoenzymes|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2774-0","Alkaline phosphatase isoenzymes|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5645-9","Alkaline phosphatase.liver|CCnc|Pt|ANYBldSerPl","1779-8","Active",""
"LG100-4","LG4405-9","Alkaline phosphatase.placental|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5665-7","Alkaline phosphatase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1679-2","Allyl alcohol|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13381-5","Alpha 1 antitrypsin phenotype|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6779-5","Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG7355-3","Alpha 1 globulin|MCnc|Pt|ANYUrine","22064-0","Active",""
"LG100-4","LG15145-2","Alpha 2 globulin|MCnc|Pt|ANYUrine","6888-2","Active",""
"LG100-4","LG7274-6","Alpha aminobutyrate|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG221-8","Alpha chlordane|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5668-1","Alpha fucosidase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG10936-9","Alpha hydroxyalprazolam|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5993-3","Alpha naphthylesterase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG18260-6","Alpha tocopherol & Beta+gamma tocopherol|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG51401-4","Alpha-1-Acid glycoprotein|MCnc|Pt|ANYBldSerPl","2685-6","Active",""
"LG100-4","LG16685-6","Alpha-1-Fetoprotein interpretation|Imp|Pt|Amnio fld","","Active",""
"LG100-4","LG16686-4","Alpha-1-Fetoprotein interpretation|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5931-3","Alpha-1-Fetoprotein|ACnc|Pt|Amnio fld","19171-8","Active",""
"LG100-4","LG5937-0","Alpha-1-Fetoprotein|ACnc|Pt|ANYBldSerPl","19176-7","Active",""
"LG100-4","LG5586-5","Alpha-1-Fetoprotein|MCnc|Pt|Amnio fld","1832-5","Active",""
"LG100-4","LG5597-2","Alpha-1-Fetoprotein|MCnc|Pt|ANYBldSerPl","1834-1","Active",""
"LG100-4","LG50947-7","Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 1 Ab|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG50934-5","Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 2 Ab.IgG|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG50935-2","Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 2 Ab.IgG|PrThr|Pt|CSF","","Active",""
"LG100-4","LG50946-9","Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 2 Ab|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5669-9","Alpha-L-iduronidase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5829-9","Alpha-N-acetylglucosaminidase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG563-3","Alprazolam|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25241-7","Alternaria alternata Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG8768-6","Alternaria alternata Ab.IgG|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22613-0","Aluminum|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2780-7","Aluminum|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25534-5","Amaranthus palmeri Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25441-3","Ambrosia elatior Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG29728-9","Ambrosia elatior Ab.IgG|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13258-5","Amiloride|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1769-1","Amino acid pattern|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13133-0","Amino acid pattern|Imp|Pt|ANYUrine","","Active",""
"LG100-4","LG17462-9","Amino acid pattern|Imp|Pt|CSF","","Active",""
"LG100-4","LG6351-3","Amino acids|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13134-8","Amino acids|Imp|Pt|ANYUrine","","Active",""
"LG100-4","LG1141-3","Amino acids|Prid|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG11043-3","Amino beta guanidinopropionate/Creatinine|Ratio|Pt|ANYUrine","","Active",""
"LG100-4","LG1526-5","Amino beta guanidinopropionate|MCnc|Pt|Amnio fld","","Active",""
"LG100-4","LG1440-9","Amino beta guanidinopropionate|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1144-7","Amino beta guanidinopropionate|MCnc|Pt|ANYUrine","","Active",""
"LG100-4","LG1441-7","Amino beta guanidinopropionate|MCnc|Pt|CSF","","Active",""
"LG100-4","LG9940-0","Amino beta guanidinopropionate|SRat|24H|ANYUrine","","Active",""
"LG100-4","LG13445-8","Amiodarone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4424-0","Amiodarone+Desethylamiodarone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG30832-6","Amisulpride|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13462-3","Amitriptyline|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG10960-9","Amlodipine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6365-3","Ammonia|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4629-4","Ammonia|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5880-2","Ammonium ion|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2789-8","Amoxapine+8-Hydroxyamoxapine|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2847-4","Amphetamines|PrThr|Pt|ANYUrine","3349-8","Active",""
"LG100-4","LG50968-3","Amphiphysin Ab.IgG|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13353-4","Amphiphysin Ab|PrThr|Pt|ANYBldSerPl","33422-7","Active",""
"LG100-4","LG24036-2","Amphiphysin Ab|PrThr|Pt|CSF","","Active",""
"LG100-4","LG14304-6","Amphiphysin Ab|Titr|Pt|CSF","35142-9","Active",""
"LG100-4","LG2776-5","Amylase isoenzymes|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5805-9","Amylase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6115-2","Androstanolone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6129-3","Androstenedione|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG32605-4","Androstenedione|MRat|24H|ANYUrine","","Active",""
"LG100-4","LG6133-5","Angiotensin converting enzyme|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6138-4","Aniline|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG51034-3","Anion gap 3|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6139-2","Anion gap 4|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13614-9","Anion gap|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22616-3","Antimony|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG9023-5","Antimony|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG26721-7","Apis mellifera Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG27906-3","Apixaban|MCnc|Pt|ANYBldSerPl","72608-3","Active",""
"LG100-4","LG5705-1","Apolipoprotein B|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG17454-6","Aquaporin 4 water channel Ab.IgG|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG17408-2","Aquaporin 4 water channel Ab.IgG|PrThr|Pt|ANYBldSerPl","43638-6","Active",""
"LG100-4","LG50124-3","Aquaporin 4 water channel Ab.IgG|PrThr|Pt|CSF","46718-3","Active",""
"LG100-4","LG17838-0","Aquaporin 4 water channel Ab.IgG|Titr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG32551-0","Aquaporin 4 water channel Ab.IgG|Titr|Pt|CSF","","Active",""
"LG100-4","LG5712-7","Arginine|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG15542-0","Aripiprazole|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4657-5","Aromatic solvents|Prid|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22843-3","Arsenic|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4658-3","Arsenic|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG3197-3","Arsenic|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG3199-9","Arsenic|SCnc|Pt|ANYUrine","","Active",""
"LG100-4","LG548-4","Artemisia tridentata Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG9026-8","Ascaris sp Ab.IgE|ACnc|Pt|ANYBldSerPl","6022-8","Active",""
"LG100-4","LG5723-4","Ascorbate|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1866-5","Asialoganglioside GM1 Ab.IgG|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG17716-8","Asialoganglioside GM1 Ab.IgG|PrThr|Pt|ANYBldSerPl","44738-3","Active",""
"LG100-4","LG1338-5","Asialoganglioside GM1 Ab.IgG|Titr|Pt|ANYBldSerPl","13663-0","Active",""
"LG100-4","LG12524-1","Asialoganglioside GM1 Ab.IgM|ACnc|Pt|ANYBldSerPl","31227-2","Active",""
"LG100-4","LG11909-5","Asialoganglioside GM1 Ab.IgM|PrThr|Pt|ANYBldSerPl","30200-0","Active",""
"LG100-4","LG131-9","Asialoganglioside GM1 Ab.IgM|Titr|Pt|ANYBldSerPl","10359-8","Active",""
"LG100-4","LG1865-7","Asialoganglioside GM1 Ab|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG17283-9","Asialoganglioside GM1 Ab|PrThr|Pt|ANYBldSerPl","43861-4","Active",""
"LG100-4","LG22455-6","Asialoglycoprotein receptor Ab|ACnc|Pt|ANYBldSerPl","55220-8","Active",""
"LG100-4","LG6033-7","Aspartate aminotransferase|CCnc|Pt|ANYBldSerPl","1920-8","Active",""
"LG100-4","LG6323-2","Aspartate|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13817-8","Atenolol|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG297-8","Atrial natriuretic factor|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG26002-2","Atriplex lentiformis Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13820-2","Atropine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25315-9","Aureobasidium pullulans Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22207-1","Autoantibodies|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG26168-1","Avena sativa Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25697-0","Avena sativa cultivated Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG8653-0","Azinphos-methyl|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG17363-9","Azinphos-methyl|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6911-4","Baccharis spp Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG28954-2","Baclofen|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13648-7","Bactericidal permeability increasing protein Ab.IgG|ACnc|Pt|ANYBldSerPl","33603-2","Active",""
"LG100-4","LG24264-0","Bactericidal permeability increasing protein Ab|ACnc|Pt|ANYBldSerPl","58771-7","Active",""
"LG100-4","LG13845-9","Barbital|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13851-7","Barbiturate screen absent|Prid|Pt|ANYUrine","","Active",""
"LG100-4","LG13320-3","Barbiturate screen present|Prid|Pt|ANYUrine","","Active",""
"LG100-4","LG13329-4","Barbiturates|PrThr|Pt|ANYUrine","3377-9","Active",""
"LG100-4","LG4152-7","Barium|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG30263-4","Barium|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6037-8","Base deficit|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG11832-9","Basement membrane Ab.IgA|PrThr|Pt|ANYBldSerPl","31253-8","Active",""
"LG100-4","LG11834-5","Basement membrane Ab.IgG|ACnc|Pt|ANYBldSerPl","31254-6","Active",""
"LG100-4","LG11831-1","Basement membrane Ab.IgG|PrThr|Pt|ANYBldSerPl","31255-3","Active",""
"LG100-4","LG4154-3","Basement membrane Ab|ACnc|Pt|ANYBldSerPl","31252-0","Active",""
"LG100-4","LG4153-5","Basement membrane Ab|PrThr|Pt|ANYBldSerPl","16433-5","Active",""
"LG100-4","LG451-1","Basement membrane Ab|Titr|Pt|ANYBldSerPl","10862-1","Active",""
"LG100-4","LG18104-6","Basement membrane zone BP180 Ab|ACnc|Pt|ANYBldSerPl","45188-0","Active",""
"LG100-4","LG21868-1","Basement membrane zone BP230 Ab.IgG|ACnc|Pt|ANYBldSerPl","53843-9","Active",""
"LG100-4","LG4157-6","Bean wax Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4155-0","Bean white Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22416-8","Benzene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4160-0","Benzene|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG10124-2","Benzfetamine|MCnt|Pt|Meconium","","Active",""
"LG100-4","LG13518-2","Benzodiazepines negative|Prid|Pt|ANYUrine","","Active",""
"LG100-4","LG14546-2","Benzodiazepines positive|Prid|Pt|ANYUrine","","Active",""
"LG100-4","LG14548-8","Benzodiazepines|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG14552-0","Benzodiazepines|PrThr|Pt|ANYUrine","3390-2","Active",""
"LG100-4","LG14588-4","Benzoylecgonine|MCnc|Pt|ANYUrine","","Active",""
"LG100-4","LG14579-3","Benzoylecgonine|PrThr|Pt|ANYUrine","3393-6","Active",""
"LG100-4","LG728-2","Benzyl alcohol|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG24747-4","Benzylpiperazine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22633-8","Beryllium|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6077-4","Beta fructofuranosidase|CCnc|Pt|RBC","","Active",""
"LG100-4","LG4174-1","Beta galactosidase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1972-1","Beta globulin/Protein.total|MFr|24H|ANYUrine","34183-4","Active",""
"LG100-4","LG15140-3","Beta globulin|MCnc|24H|ANYUrine","6889-0","Active",""
"LG100-4","LG51331-3","Beta globulin|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG50995-6","Beta globulin|MRat|24H|ANYUrine","9829-3","Active",""
"LG100-4","LG9696-8","Beta glucosidase activator|Imp|Pt|Fibroblasts","","Active",""
"LG100-4","LG1945-7","Beta glucuronidase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4568-4","Beta hydroxybutyrate dehydrogenase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG26613-6","Beta hydroxybutyrate|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2716-1","Beta tubulin Ab.IgG|Titr|Pt|ANYBldSerPl","14233-1","Active",""
"LG100-4","LG1883-0","Beta tubulin Ab.IgM|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6147-5","Beta-2-Microglobulin|MCnc|Pt|ANYBldSerPl","1952-1","Active",""
"LG100-4","LG6148-3","Beta-2-Microglobulin|MCnc|Pt|ANYUrine","1953-9","Active",""
"LG100-4","LG2806-0","Beta-2-Microglobulin|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6922-1","Beta-N-acetylhexosaminidase A & B|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG9698-4","Beta-N-acetylhexosaminidase.A activator|Imp|Pt|Fibroblasts","","Active",""
"LG100-4","LG1270-0","Beta-N-acetylhexosaminidase.A/Beta-N-acetylhexosaminidase.total|CFr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6684-7","Beta-N-acetylhexosaminidase.B/Beta-N-acetylhexosaminidase.total|CFr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6038-6","Bicarbonate^^standard|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG19366-0","Bicarbonate^post dialysis|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2807-8","Bicarbonate|SCnc|Pt|ANYBldSerPl","","Active",""
