"Category","GroupId","Archetype","LoincNumber","LongCommonName"
"Document groups","LG38741-1","","100473-8","Hematology Outpatient Progress note"
"Document groups","LG38741-1","","100474-6","Hematology+Medical oncology Outpatient Progress note"
"Document groups","LG38741-1","","100475-3","Hepatology Outpatient Progress note"
"Document groups","LG38741-1","","100476-1","Immunology Outpatient Progress note"
"Document groups","LG38741-1","","100477-9","Infectious disease Outpatient Progress note"
"Document groups","LG38741-1","","100478-7","Internal medicine Outpatient Progress note"
"Document groups","LG38741-1","","100479-5","Interventional cardiology Outpatient Progress note"
"Document groups","LG38741-1","","100480-3","Interventional radiology Outpatient Progress note"
"Document groups","LG38741-1","","100482-9","Medical Aid in Dying Outpatient Progress note"
"Document groups","LG38741-1","","100483-7","Mental health Outpatient Progress note"
"Document groups","LG38741-1","","100484-5","Multi-specialty program Outpatient Progress note"
"Document groups","LG38741-1","","100485-2","Neonatal perinatal medicine Outpatient Progress note"
"Document groups","LG38741-1","","100486-0","Nephrology Outpatient Progress note"
"Document groups","LG38741-1","","100487-8","Neurological surgery Outpatient Progress note"
"Document groups","LG38741-1","","100488-6","Neurology Outpatient Progress note"
"Document groups","LG38741-1","","100489-4","Neurology with special qualifications in child neurology Outpatient Progress note"
"Document groups","LG38741-1","","100490-2","Nurse practitioner Outpatient Progress note"
"Document groups","LG38741-1","","100491-0","Nurse Outpatient Progress note"
"Document groups","LG38741-1","","100492-8","Nutrition and dietetics Outpatient Progress note"
"Document groups","LG38741-1","","100493-6","Obstetrics and Gynecology Outpatient Progress note"
"Document groups","LG38741-1","","100494-4","Obstetrics Outpatient Progress note"
"Document groups","LG38741-1","","100495-1","Occupational therapy Outpatient Progress note"
"Document groups","LG38741-1","","100496-9","Oncology Outpatient Progress note"
"Document groups","LG38741-1","","100497-7","Ophthalmology Outpatient Progress note"
"Document groups","LG38741-1","","100498-5","Optometry Outpatient Progress note"
"Document groups","LG38741-1","","100499-3","Oral and Maxillofacial Surgery Outpatient Progress note"
"Document groups","LG38741-1","","100500-8","Orthopaedic surgery Outpatient Progress note"
"Document groups","LG38741-1","","100501-6","Orthotics prosthetics Outpatient Progress note"
"Document groups","LG38741-1","","100502-4","Otolaryngology Outpatient Progress note"
"Document groups","LG38741-1","","100503-2","Pain medicine Outpatient Progress note"
"Document groups","LG38741-1","","100504-0","Palliative care Outpatient Progress note"
"Document groups","LG38741-1","","100505-7","Pediatric cardiology Outpatient Progress note"
"Document groups","LG38741-1","","100506-5","Pediatric dermatology Outpatient Progress note"
"Document groups","LG38741-1","","100507-3","Pediatric endocrinology Outpatient Progress note"
"Document groups","LG38741-1","","100508-1","Pediatric gastroenterology Outpatient Progress note"
"Document groups","LG38741-1","","100509-9","Pediatric hematology-oncology Outpatient Progress note"
"Document groups","LG38741-1","","100510-7","Pediatric infectious diseases Outpatient Progress note"
"Document groups","LG38741-1","","100511-5","Pediatric otolaryngology Outpatient Progress note"
"Document groups","LG38741-1","","100512-3","Pediatric pulmonology Outpatient Progress note"
"Document groups","LG38741-1","","100513-1","Pediatric rheumatology Outpatient Progress note"
"Document groups","LG38741-1","","100514-9","Pediatric surgery Outpatient Progress note"
"Document groups","LG38741-1","","100515-6","Pediatric transplant hepatology Outpatient Progress note"
"Document groups","LG38741-1","","100516-4","Pediatric urology Outpatient Progress note"
"Document groups","LG38741-1","","100517-2","Pharmacogenomics Outpatient Progress note"
"Document groups","LG38741-1","","100518-0","Physical medicine and rehab Outpatient Progress note"
"Document groups","LG38741-1","","100519-8","Physical therapy Outpatient Progress note"
"Document groups","LG38741-1","","100520-6","Plastic surgery Outpatient Progress note"
"Document groups","LG38741-1","","100521-4","Podiatry Outpatient Progress note"
"Document groups","LG38741-1","","100522-2","Psychiatry Hospital Progress note"
"Document groups","LG38741-1","","100523-0","Psychology Outpatient Progress note"
"Document groups","LG38741-1","","100524-8","Pulmonary Outpatient Progress note"
"Document groups","LG38741-1","","100525-5","Radiation oncology Outpatient Progress note"
"Document groups","LG38741-1","","100526-3","Radiology Outpatient Progress note"
"Document groups","LG38741-1","","100527-1","Recreational therapy Outpatient Progress note"
"Document groups","LG38741-1","","100528-9","Reproductive endocrinology and infertility Outpatient Progress note"
"Document groups","LG38741-1","","100529-7","Research Outpatient Progress note"
"Document groups","LG38741-1","","100530-5","Rheumatology Outpatient Progress note"
"Document groups","LG38741-1","","100531-3","Sleep medicine Outpatient Progress note"
"Document groups","LG38741-1","","100532-1","Social worker Outpatient Progress note"
"Document groups","LG38741-1","","100533-9","Solid Organ Transplant Outpatient Progress note"
"Document groups","LG38741-1","","100534-7","Speech-language pathology Outpatient Progress note"
"Document groups","LG38741-1","","100535-4","Spinal surgery Outpatient Progress note"
"Document groups","LG38741-1","","100536-2","Sports medicine Outpatient Progress note"
"Document groups","LG38741-1","","100537-0","Surgery of the hand Outpatient Progress note"
"Document groups","LG38741-1","","100538-8","Telehealth+Outpatient Progress note"
"Document groups","LG38741-1","","100539-6","Thromboembolism Outpatient Progress note"
"Document groups","LG38741-1","","100540-4","Transplant surgery Outpatient Progress note"
"Document groups","LG38741-1","","100541-2","Trauma Outpatient Progress note"
"Document groups","LG38741-1","","100542-0","Urology Outpatient Progress note"
"Document groups","LG38741-1","","100543-8","Vascular neurology Outpatient Progress note"
"Document groups","LG38741-1","","100544-6","Vascular surgery Outpatient Progress note"
"Document groups","LG38741-1","","100545-3","Wound care management Outpatient Progress note"
"Document groups","LG38741-1","","100546-1","Wound, Ostomy, and Continence Care Outpatient Progress note"
"Document groups","LG38741-1","","100547-9","Adolescent medicine Hospital Progress note"
"Document groups","LG38741-1","","100548-7","Allergy and Immunology Hospital Progress note"
"Document groups","LG38741-1","","100549-5","Allergy Hospital Progress note"
"Document groups","LG38741-1","","100550-3","Attending Hospital Progress note"
"Document groups","LG38741-1","","100551-1","Audiology Hospital Progress note"
"Document groups","LG38741-1","","100552-9","Bariatric surgery Hospital Progress note"
"Document groups","LG38741-1","","100553-7","Blood banking and transfusion medicine Hospital Progress note"
"Document groups","LG38741-1","","100554-5","Bone Marrow Transplant Hospital Progress note"
"Document groups","LG38741-1","","100555-2","Breastfeeding Hospital Progress note"
"Document groups","LG38741-1","","100556-0","Burn management Hospital Progress note"
"Document groups","LG38741-1","","100557-8","Cardiac surgery Hospital Progress note"
"Document groups","LG38741-1","","100558-6","Cardiopulmonary Hospital Progress note"
"Document groups","LG38741-1","","100559-4","Child and adolescent psychiatry Hospital Progress note"
"Document groups","LG38741-1","","100560-2","Clinical cardiac electrophysiology Hospital Progress note"
"Document groups","LG38741-1","","100561-0","Clinical genetics Hospital Progress note"
"Document groups","LG38741-1","","100562-8","Clinical neurophysiology Hospital Progress note"
"Document groups","LG38741-1","","100563-6","Clinical pathology Hospital Progress note"
"Document groups","LG38741-1","","100564-4","Colon and rectal surgery Hospital Progress note"
"Document groups","LG38741-1","","100565-1","Consultant Hospital Progress note"
"Document groups","LG38741-1","","100566-9","Dentistry Hospital Progress note"
"Document groups","LG38741-1","","100567-7","Dermatology Hospital Progress note"
"Document groups","LG38741-1","","100568-5","Developmental-behavioral pediatrics Hospital Progress note"
"Document groups","LG38741-1","","100569-3","Dialysis and Therapeutic apheresis Hospital Progress note"
"Document groups","LG38741-1","","100570-1","Eating disorders Hospital Progress note"
"Document groups","LG38741-1","","100571-9","Endocrinology Hospital Progress note"
"Document groups","LG38741-1","","100572-7","Family medicine Hospital Progress note"
"Document groups","LG38741-1","","100573-5","Gastroenterology Hospital Progress note"
"Document groups","LG38741-1","","100574-3","General medicine Hospital Progress note"
"Document groups","LG38741-1","","100575-0","Geriatric medicine Hospital Progress note"
"Document groups","LG38741-1","","100576-8","Gynecologic oncology Hospital Progress note"
"Document groups","LG38741-1","","100577-6","Gynecology Hospital Progress note"
"Document groups","LG38741-1","","100578-4","Healthcare navigator Hospital Progress note"
"Document groups","LG38741-1","","100579-2","Heart failure Hospital Progress note"
"Document groups","LG38741-1","","100580-0","Heart failure+Transplant cardiology Hospital Progress note"
"Document groups","LG38741-1","","100581-8","Hematology Hospital Progress note"
"Document groups","LG38741-1","","100582-6","Hematology+Medical oncology Hospital Progress note"
"Document groups","LG38741-1","","100583-4","Hepatology Hospital Progress note"
"Document groups","LG38741-1","","100584-2","Immunology Hospital Progress note"
"Document groups","LG38741-1","","100585-9","Infectious disease Hospital Progress note"
"Document groups","LG38741-1","","100586-7","Internal medicine Hospital Progress note"
"Document groups","LG38741-1","","100587-5","Interventional cardiology Hospital Progress note"
"Document groups","LG38741-1","","100588-3","Interventional radiology Hospital Progress note"
"Document groups","LG38741-1","","100590-9","Medical Aid in Dying Hospital Progress note"
"Document groups","LG38741-1","","100591-7","Mental health Hospital Progress note"
"Document groups","LG38741-1","","100592-5","Multi-specialty program Hospital Progress note"
"Document groups","LG38741-1","","100593-3","Neonatal perinatal medicine Hospital Progress note"
"Document groups","LG38741-1","","100594-1","Nephrology Hospital Progress note"
"Document groups","LG38741-1","","100595-8","Neurological surgery Hospital Progress note"
"Document groups","LG38741-1","","100596-6","Neurology Hospital Progress note"
"Document groups","LG38741-1","","100597-4","Neurology with special qualifications in child neurology Hospital Progress note"
"Document groups","LG38741-1","","100598-2","Nurse practitioner Hospital Progress note"
"Document groups","LG38741-1","","100599-0","Nurse Hospital Progress note"
"Document groups","LG38741-1","","100600-6","Nutrition and dietetics Hospital Progress note"
"Document groups","LG38741-1","","100601-4","Obstetrics and Gynecology Hospital Progress note"
"Document groups","LG38741-1","","100602-2","Obstetrics Hospital Progress note"
"Document groups","LG38741-1","","100603-0","Occupational therapy Hospital Progress note"
"Document groups","LG38741-1","","100604-8","Oncology Hospital Progress note"
"Document groups","LG38741-1","","100605-5","Ophthalmology Hospital Progress note"
"Document groups","LG38741-1","","100606-3","Oral and Maxillofacial Surgery Hospital Progress note"
"Document groups","LG38741-1","","100607-1","Orthopaedic surgery Hospital Progress note"
"Document groups","LG38741-1","","100608-9","Orthotics prosthetics Hospital Progress note"
"Document groups","LG38741-1","","100609-7","Otolaryngology Hospital Progress note"
"Document groups","LG38741-1","","100610-5","Pain medicine Hospital Progress note"
"Document groups","LG38741-1","","100611-3","Palliative care Hospital Progress note"
"Document groups","LG38741-1","","100612-1","Pastoral care Hospital Progress note"
"Document groups","LG38741-1","","100613-9","Pediatric cardiology Hospital Progress note"
"Document groups","LG38741-1","","100614-7","Pediatric dermatology Hospital Progress note"
"Document groups","LG38741-1","","100615-4","Pediatric endocrinology Hospital Progress note"
"Document groups","LG38741-1","","100616-2","Pediatric gastroenterology Hospital Progress note"
"Document groups","LG38741-1","","100617-0","Pediatric hematology-oncology Hospital Progress note"
"Document groups","LG38741-1","","100618-8","Pediatric infectious diseases Hospital Progress note"
"Document groups","LG38741-1","","100619-6","Pediatric otolaryngology Hospital Progress note"
"Document groups","LG38741-1","","100620-4","Pediatric pulmonology Hospital Progress note"
"Document groups","LG38741-1","","100621-2","Pediatric rheumatology Hospital Progress note"
"Document groups","LG38741-1","","100622-0","Pediatric surgery Hospital Progress note"
"Document groups","LG38741-1","","100623-8","Pediatric transplant hepatology Hospital Progress note"
"Document groups","LG38741-1","","100624-6","Pharmacogenomics Hospital Progress note"
"Document groups","LG38741-1","","100625-3","Pharmacology Hospital Progress note"
"Document groups","LG38741-1","","100626-1","Physical medicine and rehab Hospital Progress note"
"Document groups","LG38741-1","","100627-9","Physical therapy Hospital Progress note"
"Document groups","LG38741-1","","100628-7","Plastic surgery Hospital Progress note"
"Document groups","LG38741-1","","100629-5","Podiatry Hospital Progress note"
"Document groups","LG38741-1","","100630-3","Psychology Hospital Progress note"
"Document groups","LG38741-1","","100631-1","Radiation oncology Hospital Progress note"
"Document groups","LG38741-1","","100632-9","Radiology Hospital Progress note"
"Document groups","LG38741-1","","100633-7","Rapid response team Hospital Progress note"
"Document groups","LG38741-1","","100634-5","Recreational therapy Hospital Progress note"
"Document groups","LG38741-1","","100635-2","Reproductive endocrinology and infertility Hospital Progress note"
"Document groups","LG38741-1","","100636-0","Research Hospital Progress note"
"Document groups","LG38741-1","","100637-8","Rheumatology Hospital Progress note"
"Document groups","LG38741-1","","100638-6","Sleep medicine Hospital Progress note"
"Document groups","LG38741-1","","100639-4","Social worker Hospital Progress note"
"Document groups","LG38741-1","","100640-2","Solid Organ Transplant Hospital Progress note"
"Document groups","LG38741-1","","100641-0","Speech-language pathology Hospital Progress note"
"Document groups","LG38741-1","","100642-8","Spinal surgery Hospital Progress note"
"Document groups","LG38741-1","","100643-6","Surgery of the hand Hospital Progress note"
"Document groups","LG38741-1","","100644-4","Thromboembolism Hospital Progress note"
"Document groups","LG38741-1","","100645-1","Trauma Hospital Progress note"
"Document groups","LG38741-1","","100646-9","Urology Hospital Progress note"
"Document groups","LG38741-1","","100647-7","Vascular neurology Hospital Progress note"
"Document groups","LG38741-1","","100648-5","Vascular surgery Hospital Progress note"
"Document groups","LG38741-1","","100649-3","Wound care management Hospital Progress note"
"Document groups","LG38741-1","","100650-1","Wound, Ostomy, and Continence Care Hospital Progress note"
"Document groups","LG38741-1","","100656-8","Maternal and fetal medicine Outpatient Progress note"
"Document groups","LG38741-1","","100657-6","Maternal and fetal medicine Telephone encounter+Hospital Progress note"
"Document groups","LG38741-1","","100659-2","Maternal and fetal medicine Hospital Progress note"
"Document groups","LG38741-1","","100660-0","Maternal and fetal medicine Telephone encounter+Outpatient Progress note"
"Document groups","LG38741-1","","100661-8","Psychiatry Outpatient Progress note"
"Document groups","LG38741-1","","101036-2","Integrative medicine Progress note"
"Document groups","LG38741-1","","101037-0","Chiropody Progress note"
"Document groups","LG38741-1","","101039-6","Aerospace medicine Progress note"
"Document groups","LG38741-1","","101042-0","Urgent care center Progress note"
"Document groups","LG38741-1","","101046-1","Hospitalist Progress note"
"Document groups","LG38741-1","","11506-3","Progress note"
"Document groups","LG38741-1","","11507-1","Occupational therapy Progress note"
"Document groups","LG38741-1","","11508-9","Physical therapy Progress note"
"Document groups","LG38741-1","","11509-7","Podiatry Progress note"
"Document groups","LG38741-1","","11510-5","Psychology Progress note"
"Document groups","LG38741-1","","11512-1","Speech-language pathology Progress note"
"Document groups","LG38741-1","","15507-7","Emergency department Progress note"
"Document groups","LG38741-1","","18733-6","Attending Progress note"
"Document groups","LG38741-1","","28569-2","Consultant Progress note"
"Document groups","LG38741-1","","28575-9","Nurse practitioner Progress note"
"Document groups","LG38741-1","","28580-9","Chiropractic medicine Progress note"
"Document groups","LG38741-1","","28617-9","Dentistry Progress note"
"Document groups","LG38741-1","","28623-7","Nurse Progress note"
"Document groups","LG38741-1","","28627-8","Psychiatry Progress note"
"Document groups","LG38741-1","","28656-7","Social worker Progress note"
"Document groups","LG38741-1","","34124-8","Cardiology Outpatient Progress note"
"Document groups","LG38741-1","","34125-5","Case manager Patient's home Progress note"
"Document groups","LG38741-1","","34126-3","Intensive care unit Progress note"
"Document groups","LG38741-1","","34127-1","Dentistry Hygienist Outpatient Progress note"
"Document groups","LG38741-1","","34128-9","Dentistry Outpatient Progress note"
"Document groups","LG38741-1","","34129-7","Patient's home Progress note"
"Document groups","LG38741-1","","34130-5","Hospital Progress note"
"Document groups","LG38741-1","","34131-3","Outpatient Progress note"
"Document groups","LG38741-1","","34132-1","Pharmacology Outpatient Progress note"
"Document groups","LG38741-1","","34900-1","General medicine Progress note"
"Document groups","LG38741-1","","34901-9","General medicine Outpatient Progress note"
"Document groups","LG38741-1","","34904-3","Mental health Progress note"
"Document groups","LG38741-1","","64055-7","General medicine Medical student Hospital Progress note"
"Document groups","LG38741-1","","64057-3","Surgery Hospital Progress note"
"Document groups","LG38741-1","","64059-9","Critical care medicine Hospital Progress note"
"Document groups","LG38741-1","","64061-5","Cardiothoracic surgery Hospital Progress note"
"Document groups","LG38741-1","","64063-1","Pulmonary Hospital Progress note"
"Document groups","LG38741-1","","64067-2","Surgery Medical student Hospital Progress note"
"Document groups","LG38741-1","","64071-4","Critical care medicine Medical student Hospital Progress note"
"Document groups","LG38741-1","","64075-5","Cardiothoracic surgery Medical student Hospital Progress note"
"Document groups","LG38741-1","","64079-7","Pulmonary Medical student Hospital Progress note"
"Document groups","LG38741-1","","68472-0","Cardiology Hospital Progress note"
"Document groups","LG38741-1","","68473-8","Critical care medicine Attending Hospital Progress note"
"Document groups","LG38741-1","","68475-3","General medicine Attending Hospital Progress note"
"Document groups","LG38741-1","","68478-7","Pulmonary Attending Hospital Progress note"
"Document groups","LG38741-1","","68479-5","Respiratory therapy Hospital Progress note"
"Document groups","LG38741-1","","68480-3","Surgery Attending Hospital Progress note"
"Document groups","LG38741-1","","68481-1","Cardiothoracic surgery Attending Hospital Progress note"
"Document groups","LG38741-1","","68484-5","Cardiology Attending Hospital Progress note"
"Document groups","LG38741-1","","68485-2","Cardiology Medical student Hospital Progress note"
"Document groups","LG38741-1","","68554-5","Hematology+Medical oncology Progress note"
"Document groups","LG38741-1","","68564-4","Obstetrics and Gynecology Progress note"
"Document groups","LG38741-1","","68568-5","Deprecated Occupational therapy Progress note"
"Document groups","LG38741-1","","68574-3","Ophthalmology Progress note"
"Document groups","LG38741-1","","68582-6","Orthopaedic surgery Progress note"
"Document groups","LG38741-1","","68589-1","Deprecated Physical therapy Progress note"
"Document groups","LG38741-1","","68595-8","Plastic surgery Progress note"
"Document groups","LG38741-1","","68617-0","Adolescent medicine Progress note"
"Document groups","LG38741-1","","68631-1","Allergy and Immunology Progress note"
"Document groups","LG38741-1","","68646-9","Child and adolescent psychiatry Progress note"
"Document groups","LG38741-1","","68659-2","Clinical genetics Progress note"
"Document groups","LG38741-1","","68668-3","Developmental-behavioral pediatrics Progress note"
"Document groups","LG38741-1","","68679-0","Multi-specialty program Progress note"
"Document groups","LG38741-1","","68693-1","Neurological surgery Progress note"
"Document groups","LG38741-1","","68703-8","Neurology with special qualifications in child neurology Progress note"
"Document groups","LG38741-1","","68725-1","Pediatric cardiology Progress note"
"Document groups","LG38741-1","","68744-2","Pediatric gastroenterology Progress note"
"Document groups","LG38741-1","","68755-8","Pediatric hematology-oncology Progress note"
"Document groups","LG38741-1","","68763-2","Pediatric infectious diseases Progress note"
"Document groups","LG38741-1","","68785-5","Pediatric pulmonology Progress note"
"Document groups","LG38741-1","","68800-2","Pediatric surgery Progress note"
"Document groups","LG38741-1","","68810-1","Pediatric urology Progress note"
"Document groups","LG38741-1","","68830-9","Pediatrics Hospital Progress note"
"Document groups","LG38741-1","","68840-8","Research Progress note"
"Document groups","LG38741-1","","68845-7","Deprecated Speech pathology Progress note"
"Document groups","LG38741-1","","68862-2","Pediatric transplant hepatology Progress note"
"Document groups","LG38741-1","","68873-9","Pediatric otolaryngology Progress note"
"Document groups","LG38741-1","","68878-8","Pediatric rheumatology Progress note"
"Document groups","LG38741-1","","68891-1","Pediatric dermatology Progress note"
"Document groups","LG38741-1","","68896-0","Pediatric endocrinology Progress note"
"Document groups","LG38741-1","","70238-1","Transplant surgery Hospital Progress note"
"Document groups","LG38741-1","","72556-4","Interventional radiology Progress note"
"Document groups","LG38741-1","","75220-4","Urology Progress note"
"Document groups","LG38741-1","","75221-2","Neurology Progress note"
"Document groups","LG38741-1","","75497-8","Telehealth Progress note"
"Document groups","LG38741-1","","77426-5","Audiology Progress note"
"Document groups","LG38741-1","","78323-3","Gastroenterology Progress note"
"Document groups","LG38741-1","","78324-1","Family medicine Progress note"
"Document groups","LG38741-1","","78325-8","Infectious disease Progress note"
"Document groups","LG38741-1","","78326-6","Dermatology Progress note"
"Document groups","LG38741-1","","78327-4","Endocrinology Progress note"
"Document groups","LG38741-1","","78328-2","Hematology Progress note"
"Document groups","LG38741-1","","78479-3","Neonatal perinatal medicine Progress note"
"Document groups","LG38741-1","","78480-1","Nephrology Progress note"
"Document groups","LG38741-1","","78481-9","Nutrition and dietetics Progress note"
"Document groups","LG38741-1","","78482-7","Oncology Progress note"
"Document groups","LG38741-1","","78663-2","Palliative care Progress note"
"Document groups","LG38741-1","","78664-0","Recreational therapy Progress note"
"Document groups","LG38741-1","","78665-7","Radiation oncology Progress note"
"Document groups","LG38741-1","","78666-5","Rheumatology Progress note"
"Document groups","LG38741-1","","78667-3","Optometry Progress note"
"Document groups","LG38741-1","","78668-1","Pain medicine Progress note"
"Document groups","LG38741-1","","78669-9","Otolaryngology Progress note"
"Document groups","LG38741-1","","78705-1","Sports medicine Progress note"
"Document groups","LG38741-1","","78710-1","Cardiology Progress note"
"Document groups","LG38741-1","","80569-7","Pharmacology Progress note"
"Document groups","LG38741-1","","80665-3","Clinical neurophysiology Progress note"
"Document groups","LG38741-1","","80667-9","Vascular neurology Progress note"
"Document groups","LG38741-1","","80671-1","Pastoral care Progress note"
"Document groups","LG38741-1","","80815-4","Geriatric medicine Progress note"
"Document groups","LG38741-1","","80819-6","Pulmonary Progress note"
"Document groups","LG38741-1","","82365-8","Reproductive endocrinology and infertility Progress note"
"Document groups","LG38741-1","","85441-4","Vascular surgery Progress note"
"Document groups","LG38741-1","","85515-5","Bariatric surgery Progress note"
"Document groups","LG38741-1","","89030-1","Physical medicine and rehab Progress note"
"Document groups","LG38741-1","","89224-0","Gynecology Progress note"
"Document groups","LG38741-1","","89233-1","Obstetrics Progress note"
"Document groups","LG38741-1","","89795-9","Blood banking and transfusion medicine Progress note"
"Document groups","LG38741-1","","89802-3","Gynecologic oncology Progress note"
"Document groups","LG38741-1","","89807-2","Maternal and fetal medicine Telephone encounter Progress note"
"Document groups","LG38741-1","","89811-4","Anesthesiology Progress note"
"Document groups","LG38741-1","","89813-0","Rapid response team Progress note"
"Document groups","LG38741-1","","89816-3","Trauma Progress note"
"Document groups","LG38741-1","","89821-3","Wound care management Progress note"
"Document groups","LG38741-1","","90007-6","Pharmacogenomics Progress note"
"Document groups","LG38741-1","","90011-8","Clinical pathology Progress note"
"Document groups","LG38741-1","","90014-2","Burn management Progress note"
"Document groups","LG38741-1","","90772-5","Heart failure Progress note"
"Document groups","LG38741-1","","90876-4","Thromboembolism Progress note"
"Document groups","LG38741-1","","93892-8","Addiction medicine Progress note"
"Document groups","LG38741-1","","93897-7","Maternal and fetal medicine Progress note"
"Document groups","LG38741-1","","93900-9","Healthcare navigator Progress note"
"Document groups","LG38741-1","","94245-8","Wound, Ostomy, and Continence Care Progress note"
"Document groups","LG38741-1","","94466-0","Solid Organ Transplant Progress note"
"Document groups","LG38741-1","","94467-8","Cardiology Intensive care unit Progress note"
"Document groups","LG38741-1","","94468-6","Bone Marrow Transplant Progress note"
"Document groups","LG38741-1","","94518-8","Clinical cardiac electrophysiology Progress note"
"Document groups","LG38741-1","","94749-9","Medical Aid in Dying Progress note"
"Document groups","LG38741-1","","95134-3","Dialysis and Therapeutic apheresis Progress note"
"Document groups","LG38741-1","","95746-4","Immunology Progress note"
"Document groups","LG38741-1","","95757-1","Allergy Progress note"
"Document groups","LG38741-1","","95802-5","Breastfeeding Progress note"
"Document groups","LG38741-1","","96338-9","Hepatology Progress note"
"Document groups","LG38741-1","","96342-1","Oral and Maxillofacial Surgery Progress note"
"Document groups","LG38741-1","","96350-4","Sleep medicine Progress note"
"Document groups","LG38741-1","","97570-6","Cardiopulmonary Progress note"
"Document groups","LG38741-1","","97571-4","Cardiac surgery Progress note"
"Document groups","LG38741-1","","97572-2","Eating disorders Progress note"
"Document groups","LG38741-1","","97574-8","Spinal surgery Progress note"
"Document groups","LG38741-1","","97575-5","Colon and rectal surgery Progress note"
"Document groups","LG38741-1","","97576-3","Surgery of the hand Progress note"
"Document groups","LG38741-1","","97577-1","Heart failure+Transplant cardiology Progress note"
"Document groups","LG38741-1","","97578-9","Internal medicine Progress note"
"Document groups","LG38741-1","","97579-7","Orthotics prosthetics Progress note"
"Document groups","LG38741-1","","97580-5","Radiology Progress note"
"Document groups","LG38741-1","","97669-6","Emergency medicine Emergency department Progress note"
"Document groups","LG38741-1","","97691-0","Interventional cardiology Progress note"
"Document groups","LG38742-9","","18734-4","Occupational therapy Initial evaluation note"
"Document groups","LG38742-9","","18735-1","Physical therapy Initial evaluation note"
"Document groups","LG38742-9","","18736-9","Physician Initial evaluation note"
"Document groups","LG38742-9","","18737-7","Podiatry Initial evaluation note"
"Document groups","LG38742-9","","18738-5","Psychology Initial evaluation note"
"Document groups","LG38742-9","","18739-3","Social worker Initial evaluation note"
"Document groups","LG38742-9","","18740-1","Speech-language pathology Initial evaluation note"
"Document groups","LG38742-9","","18763-3","Consultant Initial evaluation note"
"Document groups","LG38742-9","","28572-6","Dentistry Initial evaluation note"
"Document groups","LG38742-9","","28581-7","Chiropractic medicine Initial evaluation note"
"Document groups","LG38742-9","","28621-1","Nurse practitioner Initial evaluation note"
"Document groups","LG38742-9","","28635-1","Psychiatry Initial evaluation note"
"Document groups","LG38742-9","","28636-9","Initial evaluation note"
"Document groups","LG38742-9","","28654-2","Attending Initial evaluation note"
"Document groups","LG38742-9","","29753-1","Nurse Initial evaluation note"
"Document groups","LG38742-9","","34118-0","Patient's home Initial evaluation note"
"Document groups","LG38742-9","","34119-8","Nursing facility Initial evaluation note"
"Document groups","LG38742-9","","34120-6","Outpatient Initial evaluation note"
"Document groups","LG38742-9","","47044-3","Hospital Initial evaluation note"
"Document groups","LG38742-9","","64065-6","Case manager Hospital Initial evaluation note"
