"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"93834-0","Coccidioides sp antikehad.IgM","Acnc","Pt","CSF","Qn","IA","MICRO","","","Immuunglobuliin M Juhuslik Kvantitatiivne Liikvor",""
"93839-9","Histoplasma capsulatum antikehad.IgG","Acnc","Pt","CSF","Qn","IA","MICRO","","","Immuunglobuliin G Juhuslik Kvantitatiivne Liikvor",""
"93853-0","N-atsetüülgalaktosamiin-6-sulfataas","CCnc","Pt","U","Qn","","CHEM","","","Juhuslik Kvantitatiivne Uriin",""
"93684-9","Ammoniaak","SCnc","Pt","aB","Qn","","CHEM","","","Aine kontsentratsioon Arteriaalne veri Juhuslik Kvantitatiivne",""
"95714-2","Tuulerõugeviirus antikehad.IgG","Acnc","Pt","XXX","Qn","IA","MICRO","","","Immuunglobuliin G Juhuslik Kvantitatiivne Täpsustamata materjal",""
"95921-3","Hüdroksüklorokviin","MCnc","Pt","B","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Veri",""
"96044-3","Kasvajaantigeen HE4","MCnc","Pt","S/P","Qn","","CHEM","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"96057-5","Beetainterferoon antikehad.IgG","PrThr","Pt","S","Ord","","SERO","","","Immuunglobuliin G Järgarvuline Juhuslik Seerum",""
"94574-1","Raskemetallide paneel","-","Pt","Nail","-","","PANEL.DRUG/TOX","","","Juhuslik Küünekaabe",""
"94575-8","Raskemetallide paneel","-","24 tunni","U","-","","PANEL.DRUG/TOX","","","Uriin",""
"96277-9","Karbamasepiin antikehad.IgE","Acnc","Pt","S","Qn","","ALLERGY","","","Immuunglobuliin E Juhuslik Kvantitatiivne Seerum",""
"96297-7","Kobalamiinid antikehad.IgE","Acnc","Pt","S","Qn","","ALLERGY","","","Immuunglobuliin E Juhuslik Kvantitatiivne Seerum",""
"87925-4","Reagiin antikehad","Titr","Pt","CSF","Qn","RPR","MICRO","","","Juhuslik Kvantitatiivne Liikvor Tiiter",""
"91676-7","Giardia lamblia antigeen","PrThr","Pt","St","Ord","IA.rapid","MICRO","","","Järgarvuline Juhuslik Roe",""
"93506-4","Heptakarboksüülporfüriin III","SRat","24 tunni","U","Qn","","CHEM","","","Aine määr Kvantitatiivne Uriin",""
"93716-9","Francisella tularensis antikehad.IgM","PrThr","Pt","S","Ord","IA","MICRO","","","Immuunglobuliin M Järgarvuline Juhuslik Seerum",""
"93728-4","Vask","SCnc","Pt","DiaF","Qn","","CHEM","","","Aine kontsentratsioon Dialüüsivedelik Juhuslik Kvantitatiivne",""
"93730-0","Testosteroon","SCnc","Pt","AmnF","Qn","","CHEM","","","Aine kontsentratsioon Amnionivedelik Juhuslik Kvantitatiivne",""
"93731-8","Androsteendioon","SCnc","Pt","AmnF","Qn","","CHEM","","","Aine kontsentratsioon Amnionivedelik Juhuslik Kvantitatiivne",""
"93732-6","IgE","Acnc","Pt","LaF","Qn","","CHEM","","","Immuunglobuliin E Juhuslik Kvantitatiivne Pisaravedelik",""
"93510-6","Pentakarboksüülporfüriin 3","SRat","24 tunni","U","Qn","","CHEM","","","Aine määr Kvantitatiivne Uriin",""
"93707-8","Fraktsioneeritud porfüriinide paneel","-","Pt","U","-","","PANEL.CHEM","","","Juhuslik Uriin",""
"93720-1","Tramadool","MCnt","Pt","Me","Qn","Kinnitav","DRUG/TOX","","","Juhuslik Kvantitatiivne Mekoonium",""
"93727-6","Insuliin^pärast sööki","SCnc","Pt","S/P","Qn","","CHEM","","","Aine kontsentratsioon Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"91677-5","Cryptosporidium parvum antigeen","PrThr","Pt","St","Ord","IA.rapid","MICRO","","","Järgarvuline Juhuslik Roe",""
"92646-9","Dekstrometorfaan","PrThr","Pt","U","Ord","Kinnitav","DRUG/TOX","","","Järgarvuline Juhuslik Uriin",""
"92652-7","Sertraliin","PrThr","Pt","U","Ord","Kinnitav","DRUG/TOX","","","Järgarvuline Juhuslik Uriin",""
"91556-1","D-dimeer DDU","MCnc","Pt","B","Qn","IA","COAG","","","Juhuslik Kvantitatiivne Veri",""
"91667-6","Aspergillus clavatus antikehad","Acnc","Pt","S","Qn","","ALLERGY","","","Juhuslik Kvantitatiivne Seerum",""
"91861-5","Chlamydia trachomatis antigeen","PrThr","Pt","Asp","Ord","IF","MICRO","","","Aspiraat Järgarvuline Juhuslik",""
"91870-6","Bordetella sp antigeen","PrThr","Pt","Th","Ord","IF","MICRO","","","Järgarvuline Juhuslik Kurgukaabe",""
"91896-1","Mycoplasma pneumoniae antikehad","Titr","Pt","S","Qn","Aglutinatsioon","MICRO","","","Juhuslik Kvantitatiivne Seerum Tiiter",""
"92644-4","Fentermiin","MCnc","Pt","Sal","Qn","Kinnitav","DRUG/TOX","","","Juhuslik Kvantitatiivne Sülg",""
"92647-7","Difenhüdramiin","PrThr","Pt","U","Ord","Kinnitav","DRUG/TOX","","","Järgarvuline Juhuslik Uriin",""
"92648-5","Gabapentiin","PrThr","Pt","U","Ord","Kinnitav","DRUG/TOX","","","Järgarvuline Juhuslik Uriin",""
"92649-3","Naloksoon","PrThr","Pt","U","Ord","Kinnitav","DRUG/TOX","","","Järgarvuline Juhuslik Uriin",""
"92650-1","Paroksetiin","PrThr","Pt","U","Ord","Kinnitav","DRUG/TOX","","","Järgarvuline Juhuslik Uriin",""
"93226-9","Coccidioides sp antigeen","MCnc","Pt","S/P","Qn","IA","MICRO","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"93224-4","Coccidioides sp antigeen","MCnc","Pt","BalF","Qn","IA","MICRO","","","Juhuslik Kvantitatiivne",""
"93508-0","Heksakarboksüülporfüriin III","SRat","24 tunni","U","Qn","","CHEM","","","Aine määr Kvantitatiivne Uriin",""
"93477-8","Busulfaan manustatud","Mass","XXX","Dose","Qn","","DRUGDOSE","","","Annus Kvantitatiivne Täpsustamata",""
"93225-1","Coccidioides sp antigeen","MCnc","Pt","CSF","Qn","IA","MICRO","","","Juhuslik Kvantitatiivne Liikvor",""
"93227-7","Coccidioides sp antigeen","MCnc","Pt","U","Qn","IA","MICRO","","","Juhuslik Kvantitatiivne Uriin",""
"93336-6","Sapphape","SRat","48 tunni","St","Qn","","CHEM","","","Aine määr Kvantitatiivne Roe",""
"96807-3","Vankomütsiin antikehad.IgE","Acnc","Pt","S","Qn","","ALLERGY","","","Immuunglobuliin E Juhuslik Kvantitatiivne Seerum",""
"97016-0","Fibrinogeen","MCnc","Pt","B","Qn","Arvutuslik","COAG","","","Juhuslik Kvantitatiivne Veri",""
"1003-3","Indirektne antiglobuliintest.komplemendispetsiifiline reaktiiv","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1004-1","Direktne antiglobuliintest.komplemendispetsiifiline reaktiiv","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1005-8","Indirektne antiglobuliintest.IgG-spetsiifiline reaktiiv","PrThr","Pt","S/P","Ord","","BLDBK","","","Immuunglobuliin G Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1007-4","Direktne antiglobuliintest.polüspetsiifiline reaktiiv","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"100-8","Tsefoperasoon","Susc","Pt","Is","OrdQn","MIK","ABXBACT","","","Isolaat Juhuslik Minimaalne inhibeeriv kontsentratsioon Tundlikkus",""
"1008-2","Indirektne antiglobuliintest.polüspetsiifiline reaktiiv","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1017-3","E antikehad","PrThr","Pt","S/P^doonor","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1018-1","E antikehad","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1020-7","E antigeen","PrThr","Pt","RBC^doonor","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1021-5","E antigeen","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1023-1","Fy^a antikehad","PrThr","Pt","S/P^doonor","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"10248-3","Hapniku sisaldus","SCnc","Pt","Õõnesveen.ülemine","Qn","","CHEM","","","Aine kontsentratsioon Juhuslik Kvantitatiivne",""
"1024-9","Fy^a antikehad","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1026-4","Fy^a antigeen","PrThr","Pt","RBC^doonor","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1027-2","Fy^a antigeen","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1029-8","Fy^b antikehad","PrThr","Pt","S/P^doonor","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"1030-6","Fy^b antikehad","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"103-2","Tseforaniid","Susc","Pt","Is","Qn","MLK","ABXBACT","","","Isolaat Juhuslik Kvantitatiivne Minimaalne letaalne kontsentratsioon Tundlikkus",""
"1032-2","Fy^b antigeen","PrThr","Pt","RBC^doonor","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1033-0","Fy^b antigeen","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"10331-7","Rh","Tüüp","Pt","B","Nom","","BLDBK","","","Juhuslik Veri",""
"10333-3","Läbipaistvus","Aper","Pt","CSF","Nom","","SPEC","","","Juhuslik Liikvor",""
"10334-1","Kasvajaantigeen CA 125","Acnc","Pt","S/P","Qn","","CHEM","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10335-8","Värvus","Tüüp","Pt","CSF","Nom","","SPEC","","","Juhuslik Liikvor",""
"10338-2","Barbituraadid","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10339-0","Fluoksetiin + norfluoksetiin","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10340-8","Molindoon","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10341-6","Norpropoksüfeen","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10342-4","Sulfametoksasool","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10343-2","Temasepaam","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10344-0","Tranüülküpromiin","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10345-7","Triheksüfenidüül","MCnc","Pt","U","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Uriin",""
"10346-5","Hemoglobiin A","Acnc","Pt","B","Qn","Elektroforees","HEM/BC","","","Juhuslik Kvantitatiivne Veri",""
"10348-1","Bordetella parapertussis antikehad","PrThr","Pt","S","Ord","","MICRO","","","Järgarvuline Juhuslik Seerum",""
"10349-9","Brucella sp antikehad","Acnc","Pt","S","Qn","","MICRO","","","Juhuslik Kvantitatiivne Seerum",""
"10350-7","Lihtherpesviirus antikehad.IgM","Titr","Pt","S","Qn","IA","MICRO","","","Immuunglobuliin M Juhuslik Kvantitatiivne Seerum Tiiter",""
"1035-5","Värskelt külmutatud plasma manustatud","Vol","Pt","Dose","Qn","","BLDBK","","","Annus Juhuslik Kvantitatiivne Maht",""
"10359-8","Asialogangliosiid GM1 vastased antikehad.IgM","Titr","Pt","S","Qn","","SERO","","","Immuunglobuliin M Juhuslik Kvantitatiivne Seerum Tiiter",""
"10360-6","DNA üksikahela vastased antikehad.IgG","Acnc","Pt","S","Qn","","SERO","","","Immuunglobuliin G Juhuslik Kvantitatiivne Seerum",""
"10361-4","DNA üksikahela vastased antikehad.IgM","Acnc","Pt","S","Qn","","SERO","","","Immuunglobuliin M Juhuslik Kvantitatiivne Seerum",""
"10362-2","Endomüüsiumivastased antikehad.IgA","PrThr","Pt","S","Ord","","SERO","","","Immuunglobuliin A Järgarvuline Juhuslik Seerum",""
"10363-0","Barbituraadid","PrThr","Pt","XXX","Ord","","DRUG/TOX","","","Järgarvuline Juhuslik Täpsustamata materjal",""
"10364-8","Kotiniin","MCnt","Pt","Hair","Qn","","DRUG/TOX","","","Juhuslik Juuksed Kvantitatiivne",""
"10365-5","Kotiniin","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10366-3","Kotiniin","MCnc","Pt","U","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Uriin",""
"10367-1","Etanool","MCnc","Pt","GstF","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Maomahl",""
"10368-9","Plii","MCnc","Pt","cB","Qn","","DRUG/TOX","","","Juhuslik Kapillaarne veri Kvantitatiivne",""
"10369-7","Opiaadid","MCnt","Pt","Hair","Qn","","DRUG/TOX","","","Juhuslik Juuksed Kvantitatiivne",""
"10370-5","Fentsüklidiin","MCnt","Pt","Hair","Qn","","DRUG/TOX","","","Juhuslik Juuksed Kvantitatiivne",""
"1037-1","G antikehad","PrThr","Pt","S/P^doonor","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"10373-9","Fragmendid","PrThr","Pt","B","Ord","Valgusmikroskoopia","HEM/BC","","","Järgarvuline Juhuslik Veri",""
"10376-2","Makrotsüüdid.ovaalsed","PrThr","Pt","B","Ord","Valgusmikroskoopia","HEM/BC","","","Järgarvuline Juhuslik Veri",""
"10377-0","Ovalotsüüt","PrThr","Pt","B","Ord","Valgusmikroskoopia","HEM/BC","","","Järgarvuline Juhuslik Veri",""
"10378-8","Polükromaasia","PrThr","Pt","B","Ord","Valgusmikroskoopia","HEM/BC","","","Järgarvuline Juhuslik Veri",""
"10380-4","Stomatotsüüt","PrThr","Pt","B","Ord","Valgusmikroskoopia","HEM/BC","","","Järgarvuline Juhuslik Veri",""
"10381-2","Kodotsüüt","PrThr","Pt","B","Ord","Valgusmikroskoopia","HEM/BC","","","Järgarvuline Juhuslik Märklaudrakk Veri",""
"10385-3","Albumiin manustatud","Tüüp","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne",""
"10386-1","Albumiin manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10387-9","Autoloogsed erütrotsüüdid manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10388-7","Autoloogne veri manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"1038-9","G antikehad","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"10391-1","Tsütomegaloviiruse immuunglobuliin manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10393-7","IX faktor manustatud","Tüüp","Pt","^patsient","Nom","","BLDBK","","","Juhuslik",""
"10394-5","IX faktor manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10395-2","VIII faktor manustatud","Tüüp","Pt","^patsient","Nom","","BLDBK","","","Juhuslik",""
"10396-0","VIII faktor manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10397-8","B-hepatiidi viiruse immuunglobuliin manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10399-4","I antigeen","PrThr","Pt","RBC^doonor","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"104-0","Tseforaniid","Susc","Pt","Is","OrdQn","MIK","ABXBACT","","","Isolaat Juhuslik Minimaalne inhibeeriv kontsentratsioon Tundlikkus",""
"10400-0","I antigeen","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"1040-5","G antigeen","PrThr","Pt","RBC^doonor","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"10407-5","i antigeen","PrThr","Pt","RBC^doonor","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"10408-3","i antigeen","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"10410-9","Plasma manustatud","Tüüp","Pt","^patsient","Nom","","BLDBK","","","Juhuslik",""
"10411-7","Plasma manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10412-5","Trombotsüüdid manustatud","Tüüp","Pt","^patsient","Nom","","BLDBK","","","Juhuslik",""
"1041-3","G antigeen","PrThr","Pt","RBC","Ord","","BLDBK","","","Erütrotsüüdid Järgarvuline Juhuslik",""
"10428-1","Tuulerõugeviiruse immuunglobuliin manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10429-9","AE 1 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10430-7","AE 3 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10431-5","B-raku antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10432-3","CD30 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10433-1","BR-2 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10434-9","Komplemendi komponent C3 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10435-6","C5B-9 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10436-4","CD15 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10437-2","CD16 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10438-0","CD20 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"1043-9","H antikehad","PrThr","Pt","S/P^doonor","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"10439-8","CD3 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10440-6","CD30 antigeen","Acnc","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10441-4","CD34 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10442-2","CD56 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10444-8","CD57 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10445-5","CD11c antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"1044-7","H antikehad","PrThr","Pt","S","Ord","","BLDBK","","","Järgarvuline Juhuslik Seerum",""
"10447-1","M-5 antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10448-9","T-raku antigeen","PrThr","Pt","Tis","Ord","Immuunvärv","CELLMARK","","","Järgarvuline Juhuslik Kude",""
"10449-7","Glükoos^1 tund pärast sööki","MCnc","Pt","S/P","Qn","","CHAL.ROUTINE","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10450-5","Glükoos^pärast 10 h paastu","MCnc","Pt","S/P","Qn","","CHAL","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10451-3","Proinsuliin^pärast 12 h paastu","SCnc","Pt","S/P","Qn","","CHAL","","","Aine kontsentratsioon Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10452-1","d-ksüloos^1 tund pärast 25 g d-ksüloosi suukaudset manustamist","MCnc","Pt","S/P","Qn","","CHAL","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10453-9","d-ksüloos^1 tund pärast d-ksüloosi suukaudset manustamist","MCnc","Pt","S/P","Qn","","CHAL","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10454-7","d-ksüloos^2 tundi pärast 25 g d-ksüloosi suukaudset manustamist","MCnc","Pt","S/P","Qn","","CHAL","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"10455-4","d-ksüloos^30 minutit pärast 25 g d-ksüloosi suuakaudset manustamist","MCnc","Pt","S/P","Qn","","CHAL","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
