"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"13589-7","Резистентність до активованого протеїну С","Наявність або Поріг","МоментЧасу","Кров","Порядково","Зонд-детекція. цільова аміпліфікація НК","Коагулометрія","АРС-резист Крв Якісн АНК+зонд","Резистентність до активованого протеїну С [Наявність] в Крові методом Ампліфікації НК та детекцією з використанням зондів","","Резистентність до активованого протеїну С Ампліфікація НК+зонд Якісно (Крв)"
"14716-5","Естріол","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Естріол СирПл-МолКонц","Естріол (Е3) [Молі/об'єм] в сироватці чи плазмі","","Естріол [Молі/об'єм]"
"13590-5","Резистентність до активованого протеїну С","Часове Співвідношення","МоментЧасу","Бідна тромбоцитами плазма","Кількісно","Коагулометрія","Коагулометрія","АРС-резист БТП","Резистентність до активованого протеїну С [Часове Співвідношення] в Бідній тромбоцитами плазмі Коагулометрія","","Резистентність до активованого протеїну С Коаг (БТП) [Часове Співвідношення]"
"13950-1","Вірус Гепатиту A Антитіла. IgM","Наявність або Поріг","МоментЧасу","Сироватка/Плазма","Порядково","Імуноаналіз","Мікробіологія","ВГA IgM Сиров Якісн ІА","Вірус Гепатиту A Антитіла IgM [Наявність] в Сироватці або Плазмі методом Імуноаналізу","","ВГA IgM (HAV IgM) ІА Якісно"
"13951-9","Вірус Гепатиту A Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноаналіз","Мікробіологія","ВГA Ат Сиров Якісн ІА","Вірус Гепатиту A, Антитіла [Наявність] в Сироватці методом Імуноаналізу","","ВГA Антитіла (anti-HAV) ІА Якісно (Сиров)"
"13953-5","Вірус Гепатиту В, Антитіла до ""е"" антигену","Наявність або Поріг","МоментЧасу","Сироватка/Плазма","Порядково","Імуноаналіз","Мікробіологія","ВГВ Анти-НВе СирПл Якісн ІА","Вірус Гепатиту В, Антитіла до ""е"" антигену [Наявність] в Сироватці або Плазмі методом Імуноаналізу","","ВГВ Ат до ""е"" антигену (anti-HBe) ІА Якісно"
"14252-1","Гладка мускулатура, Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Серологія","Гладка мускулатура Ат Сир Якісн","Гладка мускулатура антитіла [Наявність] в сироватці","","Гладка мускулатура Ат Якісн (Сир)"
"12841-3","Простат-специфічний антиген.вільний/Простат-специфічний антиген.загальний","Масова Фракція","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ПСА вільн. МасФракц СирПл","Простат-специфічний антиген вільний/Простат-специфічний антиген загальний в сироватці чи плазмі","","ПСА вільн./ПСА заг. [Масова фракція]"
"1305-2","D Антиген","Наявність або Поріг","МоментЧасу","Кров","Порядково","","Банк Крові","D Аг Крв Якісн","D Антиген [Наявність] в крові","","D Аг Якісно (Крв)"
"13337-1","Клітини.CD8+HLA-DR+/100 клітин","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Клітинні Маркери","CD8+HLA-DR+ Клітини ЧисФракц Крв","CD8+HLA-DR+ клітини/100 клітин в Крові","","CD8+HLA-DR+ клітини/100 клітин (Крв)"
"13502-0","Borrelia burgdorferi Антитіла.IgG смуга патерн","Інтерпретація","МоментЧасу","Сироватка","Категорійно","Імуноблот","Мікробіологія","B burgdori IgG Пат Сир ІБ-Інтерпр","Borrelia burgdorferi Aнтитіла IgG смуга патерн [Інтерпретація] в сироватці методом імуноблоту","","B. burgdorferi IgG смуга патерн ІБ (Сир) [Інтерпр]"
"13955-0","Вірус Гепатиту С Антитіла","Наявність або Поріг","МоментЧасу","Сироватка/Плазма","Порядково","Імуноаналіз","Мікробіологія","ВГС Ат СирПл Якісн ІА","Вірус Гепатиту С Антитіла [Наявність] в Сироватці або Плазмі методом Імуноаналізу","","ВГС Ат (Anti-HCV) ІА Якісно"
"13967-5","Глобулін, що зв'язує статеві гормони","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ГЗСГ СирПл-МолКонц","Глобулін, що зв'язує статеві гормони [Молі/об'єм] в сироватці чи плазмі","","Глобулін, що зв'язує статеві гормони [Молі/об'єм]"
"14556-5","Mycobacterium tuberculosis ДНК","Наявність або Поріг","МоментЧасу","Мокротиння","Порядково","Зонд-детекція. цільова аміпліфікація НК","Мікробіологія","M tb ДНК Мокрота Якісн АНК+зонд","Mycobacterium tuberculosis ДНК [Наявність] в Мокротинні методом Ампліфікації НК та детекцією з використанням зонду","","M. tuberculosis ДНК АНК+зонд Якісно (Мокротиння)"
"14683-7","Креатинін","Молярна Концентрація","МоментЧасу","Сеча","Кількісно","","Хімія","Креатинін Сеч-МолКонц","Креатинін [Молі/об'єм] в сечі","","Креатинін (Сеч) [Молі/об'єм]"
"14684-5","Креатинін","Молярна Швидкість","24год","Сеча","Кількісно","","Хімія","Креатинін 24год Сеч-МолШвидк","Креатинін [Молі/час] в добовій сечі","","Креатинін (24год Сеч) [Молі/час]"
"10362-2","Ендомізій, Антитіла.IgA","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Серологія","Ендомізій IgA Сиров Якісн","Ендомізій, Антитіла IgA [Наявність] в сироватці","","Ендомізій IgA Якісн (Сиров)"
"10380-4","Стоматоцити","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Стоматоцити Крв Якісн Мазок","Стоматоцити [Наявність] в Крові методом Світлової мікроскопії","","Стоматоцити СМ Якісно (Крв)"
"10501-5","Лютеїнізуючий гормон","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ЛГ СирПл-ДовКонц","Лютеїнізуючий гормон [одиниці/об'єм] в Сироватці чи Плазмі","","Лютеїнізуючий гормон Кільк"
"10835-7","Ліпопротеїн (а)","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ЛПа СирПл-МасКонц","Ліпопротеїн а [Маса/об'єм] в сироватці чи плазмі","","Ліпопротеїн а [Маса/об'єм]"
"10886-0","Простат-специфічний антиген.вільний","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ПСА вільн. СирПл-МасКонц","Простат-специфічний антиген вільний [Маса/об'єм] в сироватці чи плазмі","","ПСА вільн. [Маса/об'єм]"
"11006-4","Borrelia burgdorferi Aнтитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Мікробіологія","B burgdor Ат Сиров Якісн","Borrelia burgdorferi Aнтитіла [Наявність] в Сироватці","","B. burgdorferi Ат Якісно (Сироватка)"
"11034-6","Ацетилхоліновий рецептор зв'язування, Антитіла","Молярна Концентрація","МоментЧасу","Сироватка","Кількісно","","Серологія","AChR Зв'язування Ат Сир-МолКонц","Ацетилхоліновий рецептор зв'язування Антитіла [Молі/об'єм] в сироватці","","Ацетилхоліновий рецептор зв'язування Ат (Сиров) [Молі/об'єм]"
"14611-8","Нуклеарні, Антитіла патерн","Інтерпретація","МоментЧасу","Сироватка","Категорійно","","Серологія","АНА Пат Сир-Інтерпр","Нуклеарні Антитіла патерн [Інтерпретація] в сироватці","","Нуклеарні Ат патерн (Сир) [Інтерпр]"
"14633-2","С-пептид","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","С-пептид СирПл-МолКонц","С-пептид [Молі/об'єм] в сироватці чи плазмі","","С-пептид [Молі/об'єм]"
"14675-3","Кортизол","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Кортизол СирПл-МолКонц","Кортизол [Молі/об'єм] в сироватці чи плазмі","","Кортизол [Молі/об'єм]"
"14678-7","Кортизол^вечірній мінімальний зразок","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Кортизол вечірній СирПл-МолКонц","Кортизол [Молі/об'єм] в сироватці чи плазмі -- вечірній мінімальний зразок","","Кортизол вечірній мінімальний зразок [Молі/об'єм]"
"14688-6","Дегідроепіандростерон-сульфат","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ДГЕА-С СирПл-МолКонц","Дегідроепіандростерон-сульфат (ДГЕА-С) [Молі/об'єм] в сироватці чи плазмі","","ДГЕА-С [Молі/об'єм]"
"14745-4","Глюкоза","Молярна Концентрація","МоментЧасу","Рідини Тіла","Кількісно","","Хімія","Глюкоза РідТіл-МолКонц","Глюкоза [Молі/об'єм] в рідинах тіла","","Глюкоза (РідТіл) [Молі/об'єм]"
"14759-5","Глюкоза^2 год після прийому дози глюкози","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","Глюкоза 2год після Гл СирПл-МолКон","Глюкоза [Молі/об'єм] в Сироватці або Плазмі --2 години після прийому дози глюкози","","Глюкоза 2 год після прийому дози глюкози [Молі/об'єм]"
"14765-2","Глюкоза^3 год після прийому дози глюкози","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","Глюкоза 3год після Гл СирПл-МолКон","Глюкоза [Молі/об'єм] в Сироватці або Плазмі --3 години після прийому дози глюкози","","Глюкоза 3 год після прийому дози глюкози [Молі/об'єм]"
"14927-8","Тригліцериди","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Тригліцериди СирПл-МолКонц","Тригліцериди [Молі/об'єм] в сироватці чи плазмі","","Тригліцериди [Молі/об'єм]"
"11125-2","Знахідки в морфології Тромбоцитів","Наявність або Ідентифікація","МоментЧасу","Кров","Категорійно","","Гематологія/Підрахунок клітин","Тромбоцити морф Крв","Знахідки в морфології Тромбоцитів [Ідентифікація] в Крові","","Знахідки в морфології Тромбоцитів Категорійно (Крв)"
"11258-1","Вірусу Гепатиту В ДНК","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Мікробіологія","ВГВ ДНК Сиров-ДовКонц","Вірусу Гепатиту В ДНК [Одиниці/об'єм] в Сироватці","","ВГВ ДНК Кількісно (Сиров)"
"11279-7","Коментарі до осаду сечі","Знахідка","МоментЧасу","Осад Сечі","Описово","Мікроскопія. світлова","Аналіз Сечі","Коментар СечОсд Мікро","Коментарі до осаду сечі методом Світлової Мікроскопії Описово","","Коментарі до осаду сечі СМ Описово (осад Сечі)"
"11579-0","Тиротропін","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","Межа визначення <=0,05 мМО/л","Хімія","ТТГ СирПл Межа визначення <=0,05 мМО/л-ДовКонц","Тиротропін [Одиниці/об'єм] в сироватці чи плазмі межа визначення <=0,05 мМО/л","","ТТГ Межа визначення <=0,05 мМО/л Кільк"
"14715-7","Естрадіол","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Естрадіол СирПл-МолКонц","Естрадіол (Е2) [Молі/об'єм] в сироватці чи плазмі","","Естрадіол [Молі/об'єм]"
"14732-2","Фолати","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Фолати СирПл-МолКонц","Фолати [Молі/об'єм] в сироватці чи плазмі","","Фолати [Молі/об'єм]"
"14749-6","Глюкоза","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Глюкоза СирПл-МолКонц","Глюкоза [Молі/об'єм] в сироватці чи плазмі","","Глюкоза [Молі/об'єм]"
"14756-1","Глюкоза^1 год після прийому дози глюкози","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","Глюкоза 1год після Гл СирПл-МолКонц","Глюкоза [Молі/об'єм] в Сироватці або Плазмі --1 година після прийому дози глюкози","","Глюкоза 1 год після прийому дози глюкози [Молі/об'єм]"
"14764-5","Глюкоза^3 год після прийому 100 г глюкози перорально","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","Глюкоза 3год п 100г Гл ПО СирПл-МолКонц","Глюкоза [Молі/об'єм] в Сироватці або Плазмі --3 години після прийому 100 г глюкози перорально","","Глюкоза 3 год після 100 г глюкози перорально [Молі/об'єм]"
"14771-0","Глюкоза^після голодування натще","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","Глюкоза натще СирПл-МолКон","Глюкоза після голодування натще [Молі/об'єм] в Сироватці або Плазмі","","Глюкоза після голодування натще [Молі/об'єм]"
"14800-7","Залізозв'язуюча здатність","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ЗЗЗС СирПл-МолКонц","Залізозв'язуюча здатність [Молі/об'єм] в сироватці чи плазмі","","Залізозв'язуюча здатність [Молі/об'єм]"
"14801-5","Насичення залізом","Молярна Фракція","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Насичення залізом МолФракц СирПл","Насичення залізом [Молярна фракція] в сироватці чи плазмі","","Насичення залізом [Молярна фракція]"
"14913-8","Тестостерон","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Тест СирПл-МолКонц","Тестостерон [Молі/об'єм] в сироватці чи плазмі","","Тестостерон вільний [Молі/об'єм]"
"11064-3","Азот сечовини^після діалізу","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Азот сечовини після діалізу СирПл-МасКонц","Азот сечовини [Маса/об'єм] в сироватці чи плазмі --після діалізу","","Азот сечовини після діалізу [Маса/об'єм]"
"11065-0","Азот сечовини^перед діалізом","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Азот сечовини перед діалізом СирПл-МасКонц","Азот сечовини [Маса/об'єм] в сироватці чи плазмі --перед діалізом","","Азот сечовини перед діалізом [Маса/об'єм]"
"11259-9","Вірусу Гепатиту С РНК","Наявність або Поріг","МоментЧасу","Сироватка/Плазма","Порядково","Зонд-детекція. цільова аміпліфікація НК","Мікробіологія","ВГС РНК СирПл Якісн АНК+зонд","Вірусу Гепатиту С РНК [Наявність] в Сироватці або Плазмі методом Ампліфікації НК та детекцією з використанням зонду","","ВГС РНК Ампліфікація НК+зонд Якісно"
"11274-8","Еліптоцити","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Еліптоцити Крв Якісн Мазок","Еліптоцити [Наявність] в Крові методом Світлової мікроскопії","","Еліптоцити СМ Якісно (Крв)"
"8118-2","Клітини.CD2/100 клітин","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Клітинні Маркери","CD2 Клітини ЧисФракц Крв","CD2 клітини/100 клітин в Крові","","CD2 клітини/100 клітин (Крв)"
"16126-5","Helicobacter pylori, Антитіла.IgG","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Мікробіологія","H pylori IgG Сиров Якісн","Helicobacter pylori, Антитіла IgG [Наявність] в сироватці","","H. pylori IgG Якісн (Сиров)"
"17122-3","Клітини.CD19+Каппа+/100 клітин","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Клітинні Маркери","CD19+Каппа+ Клітини ЧисФракц Крв","CD19+Каппа+ клітини/100 клітин в Крові","","CD19+Каппа+ клітини/100 клітин (Крв)"
"17284-1","Мітохондрія, Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імунофлуоресценція","Серологія","Мітохондрія Ат Сиров Якісн ІФ","Мітохондрія, Антитіла [Наявність] в сироватці методом Імунофлюоресценції","","Мітохондрія Ат ІФ Якісн (Сиров)"
"17780-8","Helicobacter pylori, Антиген","Наявність або Поріг","МоментЧасу","Кал","Порядково","Імуноаналіз","Мікробіологія","H pylori Аг Кал Якісн ІА","Helicobacter pylori, Антиген [Наявність] в калі методом Імуноаналізу","","H. pylori Аг ІА Якісн (Кал)"
"17851-7","Вірус простого герпесу 2, Антитіла.IgG","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Мікробіологія","ВПГ2 IgG Сир Якісн","Вірус простого герпесу 2 Антитіла IgG [Наявність] в сироватці","","ВПГ 2 IgG Якісн (Сир)"
"1795-4","Амілаза","Каталітична Концентрація","МоментЧасу","Рідини Тіла","Кількісно","","Хімія","Амілаза РідТіл-КатКонц","Амілаза [Ферментативна активність/об'єм] в рідинах тіла","","Амілаза (РідТіл) [Ферментативна активність/об'єм]"
"19201-3","Простат-специфічний антиген.вільний","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ПСА вільн СирПл-ДовКонц","Простат-специфічний антиген вільний [Одиниці/об'єм] в сироватці чи плазмі","","ПСА вільн. Кільк"
"12210-1","Еозинофіли/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Осад Сечі","Кількісно","Ручний підрахунок","Аналіз Сечі","Еозин/лейк ЧисФракц СечОсд Вручну","Еозинофіли/100 лейкоцитів в осаді Сечі Ручний підрахунок","","Еозинофіли/100 лейкоцитів Ручний підрахунок (осад Сечі)"
"12227-5","Лейкоцити^^з поправкою на ядровмісні еритроцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","","Гематологія/Підрахунок клітин","Лейкоц поправк на ядрвм еритр # Крв","Лейкоцити [кількість/об'єм] з поправкою на ядровмісні еритроцити в Крові","","Лейкоцити з поправкою на ядровмісні Еритр (Крв) [#/об'єм]"
"12258-0","Епітелій. плоский","Наявність або Поріг","МоментЧасу","Осад Сечі","Порядково","Мікроскопія. світлова","Аналіз Сечі","Плоский СечОсд Якісн Мікро","Епітелій. плоский [Наявність] в осаді Сечі методом Світлової Мікроскопії","","Епітелій. плоский СМ Якісно (осад Сечі)"
"12454-5","Кристали уратів.аморфні","Наявність або Поріг","МоментЧасу","Осад Сечі","Порядково","Мікроскопія. світлова","Аналіз Сечі","Кр уратів аморф СечОсд Якісн Мікро","Кристали уратів.аморфні [Наявність] в осаді Сечі методом Світлової Мікроскопії","","Кристали уратів.аморфні СМ Якісно (осад Сечі)"
"12856-1","ВІЛ 1 р65 Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноблот","Мікробіологія","ВІЛ 1 р65 Антитіла Сиров Якісн ІБ","ВІЛ 1 р65 Антитіла [Наявність] в Сироватці методом Імуноблоту","","ВІЛ 1 р65 Антитіла ІБ Якісно (Сиров)"
"13046-8","Лімфоцити.атипові (реактивні)/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Гематологія/Підрахунок клітин","Лімфоцити реактивні/лейк ЧисФракц Крв","Лімфоцити атипові (реактивні)/100 лейкоцитів в Крові","","Лімфоцити атипові (реактивні)/100 лейк (Крв)"
"13068-2","Нуклеарні, Антитіла патерн","Інтерпретація","МоментЧасу","Сироватка","Категорійно","Імунофлуоресценція","Серологія","АНА Пат Сир ІФ-Інтерпр","Нуклеарні Антитіла патерн [Інтерпретація] в сироватці методом імунфлуоресценції","","Нуклеарні Ат патерн ІФ (Сир) [Інтерпр]"
"13954-3","Вірус Гепатиту В ""е"" Антиген","Наявність або Поріг","МоментЧасу","Сироватка/Плазма","Порядково","Імуноаналіз","Мікробіологія","ВГВ HBeAg СировПл Якісн ІА","Вірус Гепатиту В ""е"" Антиген [Наявність] в Сироватці або Плазмі методом Імуноаналізу","","ВГВ ""е"" Антиген (HBeAg) ІА Якісно"
"7917-8","ВІЛ 1, Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Мікробіологія","ВІЛ 1 Ат Сир Якісн","ВІЛ 1 Антитіла [Наявність] в Сироватці","","ВІЛ 1 Ат Якісн (Сиров)"
"16130-7","Вірус простого герпесу 1 ДНК","Наявність або Поріг","МоментЧасу","ХХХ","Порядково","Зонд-детекція. цільова аміпліфікація НК","Мікробіологія","ВПГ1 ДНК Зразк Якісн АНК+зонд","Вірус простого герпесу 1 ДНК [Наявність] в Зразку методом Ампліфікації НК та детекцією з використанням зонду","","ВПГ 1 ДНК Ампліфікація НК+зонд Якісн (Зразок)"
"16131-5","Вірус простого герпесу 2 ДНК","Наявність або Поріг","МоментЧасу","ХХХ","Порядково","Зонд-детекція. цільова аміпліфікація НК","Мікробіологія","ВПГ2 ДНК Зразк Якісн АНК+зонд","Вірус простого герпесу 2 ДНК [Наявність] в Зразку методом Ампліфікації НК та детекцією з використанням зонду","","ВПГ 2 ДНК Ампліфікація НК+зонд Якісн (Зразок)"
"16136-4","Бета 2 глікопротеїн 1 Aнтитіла.IgМ","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Б2 Глікопрот1 IgМ Сиров-ДовКонц","Бета 2 глікопротеїн 1 IgМ Aнтитіла [Одиниці/об'єм] в Сироватці","","Бета 2 глікопротеїн 1 IgМ Кількісно (Сиров)"
"17788-1","Великі незафарбовані клітини/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Вел незаф клітини ЧисФракц Крв Авто","Великі незафарбовані клітини/100 лейкоцитів в Крові Автоматизований підрахунок","","Великі незафарбовані клітини/100 лейк Авто (Крв)"
"18487-9","Гігантські циліндри","Кількість на поле","МоментЧасу","Осад Сечі","Кількісно","Мікроскопія. велике збільшення поля зору (400х)","Аналіз Сечі","Гігант циліндри #/поле СечОсд 100х","Гігантські циліндри [кількість/поле] в осаді Сечі Мікроскопія при малому збільшенні поля зору (100х)","","Гігантські циліндри СМ. мале збільшення (осад Сечі) [#/поле]"
